quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,2692,2692,2692,1,1
0.001,4939,3783,4939,4,19
0.002,5903,4939,5903,6,21
0.003,6324,4939,6324,8,23
0.004,6556,4939,6556,10,25
0.005,7665,4939,7665,12,26
0.006,8374,4939,8374,14,28
0.007,8914,4939,8914,16,30
0.008,9549,4939,9549,18,32
0.009,9855,5496,9855,20,34
0.01,10622,6269,10622,22,36
0.011,10957,6418,10957,24,45
0.012,11263,7665,11263,26,47
0.013,11775,8374,11775,29,50
0.014,11950,8914,11950,31,52
0.015,12525,9716,12525,33,53
0.016,12791,10270,12791,35,55
0.017,13015,10660,13015,37,57
0.018,13490,10957,13490,39,59
0.019,13610,10957,13610,41,61
0.02,15152,10957,15152,43,63
0.021,15270,10957,15270,45,65
0.022,15460,11263,15460,47,67
0.023,16079,11488,16079,49,69
0.024,16551,11829,16551,51,71
0.025,16991,12699,16991,54,74
0.026,17519,12941,17519,56,76
0.027,17675,13419,17675,58,78
0.028,18081,13573,18081,60,79
0.029,18312,14789,18312,62,81
0.03,18523,15263,18523,64,83
0.031,18680,15307,18680,66,92
0.032,18912,15809,18912,68,94
0.033,19350,16454,19350,70,96
0.034,19760,16982,19760,72,98
0.035,20231,17380,20231,74,100
0.036,20361,17602,20361,76,102
0.037,20511,18057,20511,78,104
0.038,20839,18312,20839,81,107
0.039,20859,18523,20859,83,109
0.04,20967,18527,20967,85,111
0.041,21262,18527,21262,87,113
0.042,21407,18527,21407,89,115
0.043,21668,18527,21668,91,117
0.044,22200,18912,22200,93,119
0.045,22424,19350,22424,95,121
0.046,22515,19760,22515,97,122
0.047,22810,20231,22810,99,124
0.048,22914,20361,22914,101,125
0.049,22937,20511,22937,103,127
0.05,23184,20719,23184,106,130
0.051,23266,20840,23266,108,132
0.052,23344,20949,23344,110,134
0.053,23482,21262,23482,112,136
0.054,23969,21407,23969,114,138
0.055,24031,21668,24031,116,140
0.056,24161,22200,24161,118,142
0.057,24300,22424,24300,120,144
0.058,24572,22609,24572,122,145
0.059,24705,22914,24705,124,147
0.06,25170,22937,25170,126,149
0.061,25296,23087,25296,128,151
0.062,25372,23211,25372,130,152
0.063,25613,23344,25613,133,155
0.064,25768,23482,25768,135,157
0.065,25883,23969,25883,137,159
0.066,25989,24031,25989,139,161
0.067,26135,24161,26135,141,163
0.068,26237,24300,26237,143,165
0.069,26306,24575,26306,145,167
0.07,26356,24816,26356,147,169
0.071,26697,25189,26697,149,171
0.072,26824,25372,26824,151,173
0.073,26939,25613,26939,153,175
0.074,27334,25768,27334,155,177
0.075,27566,25883,27566,158,180
0.076,27865,25989,27865,160,182
0.077,28047,26135,28047,162,184
0.078,28183,26237,28183,164,186
0.079,28234,26306,28234,166,188
0.08,28401,26356,28401,168,190
0.081,28552,26697,28552,170,192
0.082,28752,26916,28752,172,194
0.083,28950,27181,28950,174,196
0.084,29174,27508,29174,176,198
0.085,29216,27566,29216,178,200
0.086,29314,27865,29314,180,202
0.087,29348,28047,29348,182,204
0.088,29512,28183,29512,185,207
0.089,29596,28234,29596,187,209
0.09,29677,28401,29677,189,211
0.091,29741,28552,29741,191,213
0.092,29859,28779,29859,193,215
0.093,30020,28954,30020,196,218
0.094,30034,29213,30034,197,219
0.095,30164,29305,30164,199,221
0.096,30259,29331,30259,201,222
0.097,30366,29360,30366,203,224
0.098,30544,29512,30544,205,225
0.099,30647,29596,30647,207,227
0.1,30748,29677,30748,210,230
0.101,30812,29760,30812,212,232
0.102,30917,29959,30917,214,234
0.103,31076,30020,31076,216,236
0.104,31217,30052,31217,218,238
0.105,31278,30259,31278,220,240
0.106,31360,30366,31360,222,242
0.107,31618,30644,31618,224,244
0.108,31712,30648,31712,226,246
0.109,31742,30748,31742,228,248
0.11,31841,30812,31841,230,250
0.111,31913,31010,31913,232,252
0.112,32001,31118,32001,234,254
0.113,32132,31220,32132,237,257
0.114,32244,31326,32244,239,259
0.115,32318,31410,32318,241,261
0.116,32489,31709,32489,243,263
0.117,32650,31730,32650,245,264
0.118,32808,31827,32808,247,266
0.119,32954,31863,32954,249,268
0.12,33005,31935,33005,251,270
0.121,33029,32026,33029,253,272
0.122,33045,32158,33045,255,274
0.123,33083,32254,33083,257,276
0.124,33222,32333,33222,259,278
0.125,33535,32650,33535,262,281
0.126,33789,32808,33789,264,283
0.127,33943,32954,33943,266,285
0.128,33966,33005,33966,268,287
0.129,34049,33029,34049,270,289
0.13,34072,33050,34072,272,291
0.131,34164,33220,34164,274,293
0.132,34195,33265,34195,276,295
0.133,34477,33535,34477,278,297
0.134,34646,33789,34646,280,299
0.135,34693,33943,34693,282,301
0.136,34842,33966,34842,284,303
0.137,34907,34049,34907,286,305
0.138,34997,34072,34997,289,308
0.139,35093,34164,35093,291,310
0.14,35169,34374,35169,293,312
0.141,35450,34553,35450,295,313
0.142,35526,34670,35526,297,315
0.143,35586,34842,35586,299,317
