quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,1,3,1,8,0
0.001,6,6,6,636,601
0.002,8,8,8,1434,1399
0.003,9,9,9,1963,1928
0.004,10,10,10,2565,2530
0.005,11,11,11,3241,3206
0.006,11,11,11,3241,3206
0.007,12,12,12,4012,3977
0.008,13,13,13,4774,4739
0.009,13,13,13,4774,4739
0.01,14,14,14,5618,5583
0.011,15,15,15,6460,6425
0.012,15,15,15,6460,6425
0.013,16,16,16,7359,7324
0.014,16,16,16,7359,7324
0.015,17,17,17,8269,8234
0.016,18,18,18,9151,9116
0.017,18,18,18,9151,9116
0.018,19,19,19,10030,9995
0.019,19,19,19,10030,9995
0.02,20,20,20,10896,10861
0.021,21,21,21,11733,11698
0.022,21,21,21,11733,11698
0.023,22,22,22,12636,12601
0.024,22,22,22,12636,12601
0.025,23,23,23,13480,13445
0.026,24,24,24,14277,14242
0.027,24,24,24,14277,14242
0.028,25,25,25,15055,15020
0.029,26,26,26,15884,15849
0.03,26,26,26,15884,15849
0.031,27,27,27,16680,16645
0.032,28,27,28,17447,17412
0.033,28,28,28,17447,17412
0.034,29,29,29,18316,18281
0.035,30,29,30,19118,19083
0.036,30,30,30,19118,19083
0.037,31,31,31,20000,19965
0.038,31,31,31,20000,19965
0.039,32,32,32,20970,20935
0.04,33,32,33,21980,21945
0.041,33,33,33,21980,21945
0.042,34,33,34,22994,22959
0.043,34,34,34,22994,22959
0.044,35,34,35,24042,24007
0.045,35,35,35,24042,24007
0.046,36,35,36,25132,25097
0.047,36,36,36,25132,25097
0.048,37,36,37,26262,26227
0.049,37,37,37,26262,26227
0.05,37,37,37,26262,26227
0.051,38,38,38,27423,27388
0.052,38,38,38,27423,27388
0.053,39,39,39,28537,28502
0.054,39,39,39,28537,28502
0.055,40,40,40,29708,29673
0.056,40,40,40,29708,29673
0.057,41,40,41,30904,30869
0.058,41,41,41,30904,30869
0.059,42,41,42,32092,32057
0.06,42,42,42,32092,32057
0.061,42,42,42,32092,32057
0.062,43,43,43,33282,33247
0.063,43,43,43,33282,33247
0.064,44,44,44,34482,34447
0.065,44,44,44,34482,34447
0.066,45,44,45,35640,35605
0.067,45,45,45,35640,35605
0.068,46,45,46,36804,36769
0.069,46,46,46,36804,36769
0.07,46,46,46,36804,36769
0.071,47,47,47,37959,37924
0.072,47,47,47,37959,37924
0.073,48,48,48,39104,39069
0.074,48,48,48,39104,39069
0.075,49,48,49,40263,40228
0.076,49,49,49,40263,40228
0.077,50,49,50,41430,41395
0.078,50,50,50,41430,41395
0.079,51,50,51,42609,42574
0.08,51,51,51,42609,42574
0.081,51,51,51,42609,42574
0.082,52,52,52,43760,43725
0.083,52,52,52,43760,43725
0.084,53,52,53,44935,44900
0.085,53,53,53,44935,44900
0.086,54,53,54,46116,46081
0.087,54,54,54,46116,46081
0.088,55,54,55,47304,47269
0.089,55,55,55,47304,47269
0.09,55,55,55,47304,47269
0.091,56,56,56,48523,48488
0.092,56,56,56,48523,48488
0.093,57,56,57,49790,49755
0.094,57,57,57,49790,49755
0.095,58,57,58,51041,51006
0.096,58,58,58,51041,51006
0.097,58,58,58,51041,51006
0.098,59,58,59,52348,52313
0.099,59,59,59,52348,52313
0.1,60,59,60,53644,53609
0.101,60,60,60,53644,53609
0.102,60,60,60,53644,53609
0.103,61,60,61,54929,54894
0.104,61,61,61,54929,54894
0.105,62,61,62,56257,56222
0.106,62,62,62,56257,56222
0.107,62,62,62,56257,56222
0.108,63,62,63,57621,57586
0.109,63,63,63,57621,57586
0.11,64,63,64,58982,58947
0.111,64,64,64,58982,58947
0.112,64,64,64,58982,58947
0.113,65,64,65,60387,60352
0.114,65,65,65,60387,60352
0.115,65,65,65,60387,60352
0.116,66,65,66,61704,61669
0.117,66,66,66,61704,61669
0.118,67,66,67,63055,63020
0.119,67,67,67,63055,63020
0.12,67,67,67,63055,63020
0.121,68,67,68,64431,64396
0.122,68,68,68,64431,64396
0.123,69,68,69,65761,65726
0.124,69,69,69,65761,65726
0.125,69,69,69,65761,65726
0.126,70,69,70,67155,67120
0.127,70,70,70,67155,67120
0.128,71,70,71,68572,68537
0.129,71,70,71,68572,68537
0.13,71,71,71,68572,68537
0.131,72,71,72,69937,69902
0.132,72,72,72,69937,69902
0.133,72,72,72,69937,69902
0.134,73,72,73,71357,71322
0.135,73,73,73,71357,71322
0.136,74,73,74,72723,72688
0.137,74,73,74,72723,72688
0.138,74,74,74,72723,72688
0.139,75,74,75,74126,74091
0.14,75,75,75,74126,74091
0.141,75,75,75,74126,74091
0.142,76,75,76,75497,75462
0.143,76,76,76,75497,75462
0.144,77,76,77,76903,76868
0.145,77,76,77,76903,76868
0.146,77,77,77,76903,76868
0.147,78,77,78,78303,78268
0.148,78,78,78,78303,78268
0.149,78,78,78,78303,78268
0.15,79,78,79,79692,79657
0.151,79,79,79,79692,79657
0.152,80,79,80,81152,81117
0.153,80,79,80,81152,81117
0.154,80,80,80,81152,81117
0.155,81,80,81,82551,82516
0.156,81,80,81,82551,82516
0.157,81,81,81,82551,82516
0.158,82,81,82,83907,83872
0.159,82,82,82,83907,83872
0.16,83,82,83,85355,85320
0.161,83,82,83,85355,85320
0.162,83,83,83,85355,85320
0.163,84,83,84,86704,86669
0.164,84,83,84,86704,86669
0.165,84,84,84,86704,86669
0.166,85,84,85,88122,88087
0.167,85,85,85,88122,88087
0.168,86,85,86,89594,89559
0.169,86,85,86,89594,89559
0.17,86,86,86,89594,89559
0.171,87,86,87,90995,90960
0.172,87,86,87,90995,90960
0.173,87,87,87,90995,90960
0.174,88,87,88,92449,92414
0.175,88,88,88,92449,92414
0.176,88,88,88,92449,92414
0.177,89,88,89,93938,93903
0.178,89,89,89,93938,93903
0.179,90,89,90,95358,95323
0.18,90,89,90,95358,95323
0.181,90,90,90,95358,95323
0.182,91,90,91,96770,96735
0.183,91,90,91,96770,96735
0.184,91,91,91,96770,96735
0.185,92,91,92,98223,98188
0.186,92,91,92,98223,98188
0.187,92,92,92,98223,98188
0.188,93,92,93,99665,99630
0.189,93,93,93,99665,99630
0.19,94,93,94,101151,101116
0.191,94,93,94,101151,101116
0.192,94,94,94,101151,101116
0.193,95,94,95,102615,102580
0.194,95,94,95,102615,102580
0.195,95,95,95,102615,102580
0.196,96,95,96,104086,104051
0.197,96,95,96,104086,104051
0.198,96,96,96,104086,104051
0.199,97,96,97,105574,105539
0.2,97,96,97,105574,105539
0.201,97,97,97,105574,105539
0.202,98,97,98,106965,106930
0.203,98,98,98,106965,106930
0.204,99,98,99,108399,108364
0.205,99,98,99,108399,108364
0.206,99,99,99,108399,108364
0.207,100,99,100,109832,109797
0.208,100,99,100,109832,109797
0.209,100,100,100,109832,109797
0.21,101,100,101,111288,111253
0.211,101,100,101,111288,111253
0.212,101,101,101,111288,111253
0.213,102,101,102,112706,112671
0.214,102,102,102,112706,112671
0.215,103,102,103,114178,114143
0.216,103,102,103,114178,114143
0.217,103,103,103,114178,114143
0.218,104,103,104,115659,115624
0.219,104,103,104,115659,115624
0.22,104,104,104,115659,115624
0.221,105,104,105,117169,117134
0.222,105,104,105,117169,117134
0.223,105,105,105,117169,117134
0.224,106,105,106,118642,118607
0.225,106,105,106,118642,118607
0.226,106,106,106,118642,118607
0.227,107,106,107,120080,120045
0.228,107,106,107,120080,120045
0.229,108,107,108,121513,121478
0.23,108,107,108,121513,121478
0.231,108,108,108,121513,121478
0.232,109,108,109,122966,122931
0.233,109,108,109,122966,122931
0.234,109,109,109,122966,122931
0.235,110,109,110,124415,124380
0.236,110,109,110,124415,124380
0.237,110,110,110,124415,124380
0.238,111,110,111,125924,125889
0.239,111,110,111,125924,125889
0.24,112,111,112,127424,127389
0.241,112,111,112,127424,127389
0.242,112,111,112,127424,127389
0.243,113,112,113,128884,128849
0.244,113,112,113,128884,128849
0.245,113,113,113,128884,128849
0.246,114,113,114,130381,130346
0.247,114,113,114,130381,130346
0.248,114,114,114,130381,130346
0.249,115,114,115,131889,131854
0.25,115,114,115,131889,131854
0.251,115,115,115,131889,131854
0.252,116,115,116,133338,133303
0.253,116,115,116,133338,133303
0.254,116,116,116,133338,133303
0.255,117,116,117,134750,134715
0.256,117,116,117,134750,134715
0.257,118,117,118,136212,136177
0.258,118,117,118,136212,136177
0.259,118,117,118,136212,136177
0.26,119,118,119,137733,137698
0.261,119,118,119,137733,137698
0.262,119,119,119,137733,137698
0.263,120,119,120,139186,139151
0.264,120,119,120,139186,139151
0.265,120,120,120,139186,139151
0.266,121,120,121,140646,140611
0.267,121,120,121,140646,140611
0.268,122,121,122,142051,142016
0.269,122,121,122,142051,142016
0.27,122,121,122,142051,142016
0.271,123,122,123,143473,143438
0.272,123,122,123,143473,143438
0.273,123,122,123,143473,143438
0.274,124,123,124,144812,144777
0.275,124,123,124,144812,144777
0.276,125,124,125,146239,146204
0.277,125,124,125,146239,146204
0.278,125,124,125,146239,146204
0.279,126,125,126,147706,147671
0.28,126,125,126,147706,147671
0.281,126,125,126,147706,147671
0.282,127,126,127,149143,149108
0.283,127,126,127,149143,149108
0.284,127,127,127,149143,149108
0.285,128,127,128,150606,150571
0.286,128,127,128,150606,150571
0.287,129,128,129,152006,151971
0.288,129,128,129,152006,151971
0.289,129,128,129,152006,151971
0.29,130,129,130,153396,153361
0.291,130,129,130,153396,153361
0.292,130,129,130,153396,153361
0.293,131,130,131,154803,154768
0.294,131,130,131,154803,154768
0.295,132,131,132,156243,156208
0.296,132,131,132,156243,156208
0.297,132,131,132,156243,156208
0.298,133,132,133,157655,157620
0.299,133,132,133,157655,157620
0.3,133,132,133,157655,157620
0.301,134,133,134,159125,159090
0.302,134,133,134,159125,159090
0.303,134,133,134,159125,159090
0.304,135,134,135,160533,160498
0.305,135,134,135,160533,160498
0.306,136,135,136,161964,161929
0.307,136,135,136,161964,161929
0.308,136,135,136,161964,161929
0.309,137,136,137,163323,163288
0.31,137,136,137,163323,163288
0.311,137,136,137,163323,163288
0.312,138,137,138,164707,164672
0.313,138,137,138,164707,164672
0.314,139,137,139,166037,166002
0.315,139,138,139,166037,166002
0.316,139,138,139,166037,166002
0.317,140,139,140,167448,167413
0.318,140,139,140,167448,167413
0.319,140,139,140,167448,167413
0.32,141,140,141,168897,168862
0.321,141,140,141,168897,168862
0.322,142,141,142,170291,170256
0.323,142,141,142,170291,170256
0.324,142,141,142,170291,170256
0.325,143,142,143,171648,171613
0.326,143,142,143,171648,171613
0.327,143,142,143,171648,171613
0.328,144,143,144,172964,172929
0.329,144,143,144,172964,172929
0.33,145,143,145,174302,174267
0.331,145,144,145,174302,174267
0.332,145,144,145,174302,174267
0.333,146,145,146,175711,175676
0.334,146,145,146,175711,175676
0.335,147,145,147,177068,177033
0.336,147,146,147,177068,177033
0.337,147,146,147,177068,177033
0.338,148,147,148,178408,178373
0.339,148,147,148,178408,178373
0.34,149,147,149,179819,179784
0.341,149,148,149,179819,179784
0.342,149,148,149,179819,179784
0.343,150,148,150,181140,181105
0.344,150,149,150,181140,181105
0.345,150,149,150,181140,181105
0.346,151,150,151,182480,182445
0.347,151,150,151,182480,182445
0.348,152,150,152,183880,183845
0.349,152,151,152,183880,183845
0.35,152,151,152,183880,183845
0.351,153,152,153,185215,185180
0.352,153,152,153,185215,185180
0.353,154,152,154,186591,186556
0.354,154,153,154,186591,186556
0.355,154,153,154,186591,186556
0.356,155,153,155,187955,187920
0.357,155,154,155,187955,187920
0.358,155,154,155,187955,187920
0.359,156,155,156,189286,189251
0.36,156,155,156,189286,189251
0.361,157,155,157,190562,190527
0.362,157,156,157,190562,190527
0.363,157,156,157,190562,190527
0.364,158,157,158,191862,191827
0.365,158,157,158,191862,191827
0.366,159,157,159,193069,193034
0.367,159,158,159,193069,193034
0.368,160,158,160,194368,194333
0.369,160,159,160,194368,194333
0.37,160,159,160,194368,194333
0.371,161,159,161,195690,195655
0.372,161,160,161,195690,195655
0.373,162,160,162,196924,196889
0.374,162,161,162,196924,196889
0.375,162,161,162,196924,196889
0.376,163,161,163,198172,198137
0.377,163,162,163,198172,198137
0.378,164,162,164,199405,199370
0.379,164,163,164,199405,199370
0.38,165,163,165,200651,200616
0.381,165,163,165,200651,200616
0.382,165,164,165,200651,200616
0.383,166,164,166,201939,201904
0.384,166,165,166,201939,201904
0.385,167,165,167,203258,203223
0.386,167,166,167,203258,203223
0.387,167,166,167,203258,203223
0.388,168,166,168,204540,204505
0.389,168,167,168,204540,204505
0.39,169,167,169,205789,205754
0.391,169,168,169,205789,205754
0.392,169,168,169,205789,205754
0.393,170,168,170,207064,207029
0.394,170,169,170,207064,207029
0.395,171,169,171,208321,208286
0.396,171,170,171,208321,208286
0.397,172,170,172,209568,209533
0.398,172,170,172,209568,209533
0.399,172,171,172,209568,209533
0.4,173,171,173,210805,210770
0.401,173,172,173,210805,210770
0.402,174,172,174,212016,211981
0.403,174,173,174,212016,211981
0.404,175,173,175,213213,213178
0.405,175,173,175,213213,213178
0.406,175,174,175,213213,213178
0.407,176,174,176,214426,214391
0.408,176,175,176,214426,214391
0.409,177,175,177,215680,215645
0.41,177,176,177,215680,215645
0.411,178,176,178,216886,216851
0.412,178,176,178,216886,216851
0.413,178,177,178,216886,216851
0.414,179,177,179,218096,218061
0.415,179,178,179,218096,218061
0.416,180,178,180,219325,219290
0.417,180,178,180,219325,219290
0.418,181,179,181,220524,220489
0.419,181,179,181,220524,220489
0.42,181,180,181,220524,220489
0.421,182,180,182,221724,221689
0.422,182,181,182,221724,221689
0.423,183,181,183,222902,222867
0.424,183,181,183,222902,222867
0.425,184,182,184,224123,224088
0.426,184,182,184,224123,224088
0.427,184,183,184,224123,224088
0.428,185,183,185,225311,225276
0.429,185,184,185,225311,225276
0.43,186,184,186,226514,226479
0.431,186,185,186,226514,226479
0.432,187,185,187,227713,227678
0.433,187,185,187,227713,227678
0.434,188,186,188,228899,228864
0.435,188,186,188,228899,228864
0.436,188,187,188,228899,228864
0.437,189,187,189,230151,230116
0.438,189,188,189,230151,230116
0.439,190,188,190,231301,231266
0.44,190,188,190,231301,231266
0.441,191,189,191,232418,232383
0.442,191,189,191,232418,232383
0.443,192,190,192,233584,233549
0.444,192,190,192,233584,233549
0.445,192,191,192,233584,233549
0.446,193,191,193,234710,234675
0.447,193,192,193,234710,234675
0.448,194,192,194,235838,235803
0.449,194,192,194,235838,235803
0.45,195,193,195,236989,236954
0.451,195,193,195,236989,236954
0.452,196,194,196,238107,238072
0.453,196,194,196,238107,238072
0.454,197,195,197,239292,239257
0.455,197,195,197,239292,239257
0.456,198,196,198,240499,240464
0.457,198,196,198,240499,240464
0.458,198,197,198,240499,240464
0.459,199,197,199,241591,241556
0.46,199,197,199,241591,241556
0.461,200,198,200,242700,242665
0.462,200,198,200,242700,242665
0.463,201,199,201,243805,243770
0.464,201,199,201,243805,243770
0.465,202,200,202,244951,244916
0.466,202,200,202,244951,244916
0.467,203,201,203,246059,246024
0.468,203,201,203,246059,246024
0.469,204,202,204,247188,247153
0.47,204,202,204,247188,247153
0.471,204,202,204,247188,247153
0.472,205,203,205,248320,248285
0.473,205,203,205,248320,248285
0.474,206,204,206,249487,249452
0.475,206,204,206,249487,249452
0.476,207,205,207,250624,250589
0.477,207,205,207,250624,250589
0.478,208,206,208,251801,251766
0.479,208,206,208,251801,251766
0.48,209,207,209,252847,252812
0.481,209,207,209,252847,252812
0.482,210,208,210,253940,253905
0.483,210,208,210,253940,253905
0.484,211,208,211,255002,254967
0.485,211,209,211,255002,254967
0.486,212,209,212,256041,256006
0.487,212,210,212,256041,256006
0.488,213,210,213,257083,257048
0.489,213,211,213,257083,257048
0.49,214,211,214,258152,258117
0.491,214,212,214,258152,258117
0.492,215,212,215,259197,259162
0.493,215,213,215,259197,259162
0.494,216,213,216,260278,260243
0.495,216,214,216,260278,260243
0.496,217,214,217,261331,261296
0.497,217,215,217,261331,261296
0.498,218,215,218,262343,262308
0.499,218,216,218,262343,262308
0.5,219,216,219,263350,263315
0.501,219,217,219,263350,263315
0.502,220,217,220,264399,264364
0.503,220,218,220,264399,264364
0.504,221,218,221,265485,265450
0.505,221,219,221,265485,265450
0.506,222,219,222,266490,266455
0.507,222,220,222,266490,266455
0.508,223,220,223,267484,267449
0.509,223,221,223,267484,267449
0.51,224,221,224,268498,268463
0.511,224,222,224,268498,268463
0.512,225,222,225,269557,269522
0.513,225,223,225,269557,269522
0.514,226,223,226,270595,270560
0.515,226,224,226,270595,270560
0.516,227,224,227,271586,271551
0.517,227,225,227,271586,271551
0.518,228,225,228,272624,272589
0.519,228,226,228,272624,272589
0.52,229,226,229,273667,273632
0.521,229,227,229,273667,273632
0.522,230,227,230,274641,274606
0.523,230,228,230,274641,274606
0.524,231,228,231,275673,275638
0.525,231,229,231,275673,275638
