quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,29533,29533,29533,1,1
0.001,30652,30652,30652,2,2
0.002,32644,30652,32644,3,3
0.003,32644,32644,32644,3,3
0.004,54764,32644,54764,4,4
0.005,54764,54764,54764,4,4
0.006,58749,54764,58749,5,5
0.007,58749,58749,58749,5,5
0.008,66457,58749,66457,6,6
0.009,66457,66457,66457,6,6
0.01,69137,66457,69137,7,7
0.011,69137,69137,69137,7,7
0.012,73209,69137,73209,8,8
0.013,73209,73209,73209,8,8
0.014,77679,73209,77679,9,9
0.015,77679,77679,77679,9,9
0.016,81927,77679,81927,10,10
0.017,81927,81927,81927,10,10
0.018,85828,81927,85828,11,11
0.019,85828,85828,85828,11,11
0.02,91145,85828,91145,12,12
0.021,91145,91145,91145,12,12
0.022,92083,91145,92083,13,13
0.023,92083,92083,92083,13,13
0.024,94760,92083,94760,14,14
0.025,94760,94760,94760,14,14
0.026,96775,94760,96775,15,15
0.027,96775,96775,96775,15,15
0.028,100811,96775,100811,16,16
0.029,100811,100811,100811,16,16
0.03,105953,100811,105953,17,17
0.031,105953,105953,105953,17,17
0.032,108014,105953,108014,18,18
0.033,108014,108014,108014,18,18
0.034,110497,108014,110497,19,19
0.035,110497,110497,110497,19,19
0.036,110797,110497,110797,20,20
0.037,110797,110797,110797,20,20
0.038,111613,110797,111613,21,21
0.039,111613,111613,111613,21,21
0.04,112964,111613,112964,22,22
0.041,112964,112964,112964,22,22
0.042,113494,113494,113494,23,23
0.043,113792,113494,113792,24,24
0.044,113792,113792,113792,24,24
0.045,114016,113792,114016,25,25
0.046,114016,114016,114016,25,25
0.047,116508,114016,116508,26,26
0.048,116508,116508,116508,26,26
0.049,117745,116508,117745,27,27
0.05,117745,117745,117745,27,27
0.051,122752,117745,122752,28,28
0.052,122752,122752,122752,28,28
0.053,122924,122752,122924,29,29
0.054,122924,122924,122924,29,29
0.055,124318,122924,124318,30,30
0.056,124318,124318,124318,30,30
0.057,124480,124318,124480,31,31
0.058,124480,124480,124480,31,31
0.059,125740,124480,125740,32,32
0.06,125740,125740,125740,32,32
0.061,126449,125740,126449,33,33
0.062,126449,126449,126449,33,33
0.063,128331,126449,128331,34,34
0.064,128331,128331,128331,34,34
0.065,129502,128331,129502,35,35
0.066,129502,129502,129502,35,35
0.067,130330,129502,130330,36,36
0.068,130330,130330,130330,36,36
0.069,131235,130330,131235,37,37
0.07,131235,131235,131235,37,37
0.071,132998,131235,132998,38,38
0.072,132998,132998,132998,38,38
0.073,134705,132998,134705,39,39
0.074,134705,134705,134705,39,39
0.075,136503,134705,136503,40,40
0.076,136503,136503,136503,40,40
0.077,137991,136503,137991,41,41
0.078,137991,137991,137991,41,41
0.079,139634,137991,139634,42,42
0.08,139634,139634,139634,42,42
0.081,140737,139634,140737,43,43
0.082,140737,140737,140737,43,43
0.083,141081,140737,141081,44,44
0.084,141404,141081,141404,45,45
0.085,141404,141404,141404,45,45
0.086,143097,141404,143097,46,46
0.087,143097,143097,143097,46,46
0.088,143979,143097,143979,47,47
0.089,143979,143979,143979,47,47
0.09,145235,143979,145235,48,48
0.091,145235,145235,145235,48,48
0.092,145376,145235,145376,49,49
0.093,145376,145376,145376,49,49
0.094,146663,145376,146663,50,50
0.095,146663,146663,146663,50,50
0.096,146876,146663,146876,51,51
0.097,146876,146876,146876,51,51
0.098,147391,146876,147391,52,52
0.099,147391,147391,147391,52,52
0.1,147489,147391,147489,53,53
0.101,147489,147489,147489,53,53
0.102,147949,147489,147949,54,54
0.103,147949,147949,147949,54,54
0.104,148122,147949,148122,55,55
0.105,148122,148122,148122,55,55
0.106,148526,148122,148526,56,56
0.107,148526,148526,148526,56,56
0.108,150850,148526,150850,57,57
0.109,150850,150850,150850,57,57
0.11,151247,150850,151247,58,58
0.111,151247,151247,151247,58,58
0.112,151823,151247,151823,59,59
0.113,151823,151823,151823,59,59
0.114,152876,151823,152876,60,60
0.115,152876,152876,152876,60,60
0.116,154146,152876,154146,61,61
0.117,154146,154146,154146,61,61
0.118,154715,154146,154715,62,62
0.119,154715,154715,154715,62,62
0.12,156186,154715,156186,63,63
0.121,156186,156186,156186,63,63
0.122,157411,156186,157411,64,64
0.123,157411,157411,157411,64,64
0.124,159150,157411,159150,65,65
0.125,160022,159150,160022,66,66
0.126,160022,160022,160022,66,66
0.127,160528,160022,160528,67,67
0.128,160528,160528,160528,67,67
0.129,161248,160528,161248,68,68
0.13,161248,161248,161248,68,68
0.131,162877,161248,162877,69,69
0.132,162877,162877,162877,69,69
0.133,163465,162877,163465,70,70
0.134,163465,163465,163465,70,70
0.135,163936,163465,163936,71,71
0.136,163936,163936,163936,71,71
0.137,166368,163936,166368,72,72
0.138,166368,166368,166368,72,72
