quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,778,778,778,1,128
0.001,1207,778,1207,10,128
0.002,1287,778,1287,18,129
0.003,1448,778,1448,26,259
0.004,1568,778,1568,34,261
0.005,1674,778,1674,42,261
0.006,1814,778,1814,51,262
0.007,1927,778,1927,59,394
0.008,1989,778,1989,67,397
0.009,2124,778,2124,75,400
0.01,2218,778,2218,83,406
0.011,2407,778,2407,92,411
0.012,2483,778,2483,100,418
0.013,2566,778,2566,108,424
0.014,2675,778,2675,116,428
0.015,2779,1220,2779,124,431
0.016,2922,1328,2922,133,442
0.017,2968,1328,2968,141,446
0.018,3088,1328,3088,149,453
0.019,3201,1328,3201,157,459
0.02,3276,1328,3276,165,481
0.021,3362,1328,3362,175,489
0.022,3413,1328,3413,182,495
0.023,3494,1328,3494,190,502
0.024,3579,1328,3579,198,506
0.025,3669,1328,3669,206,514
0.026,3755,1328,3755,214,647
0.027,3806,1328,3806,223,654
0.028,3908,1328,3908,232,660
0.029,3965,1328,3965,239,666
0.03,4006,1328,4006,247,674
0.031,4067,1906,4067,255,681
0.032,4125,1906,4125,264,688
0.033,4193,1906,4193,272,695
0.034,4253,1906,4253,280,701
0.035,4357,1906,4357,288,708
0.036,4389,1906,4389,297,717
0.037,4430,1906,4430,305,724
0.038,4460,1906,4460,313,731
0.039,4546,1906,4546,321,738
0.04,4609,1906,4609,329,746
0.041,4659,1906,4659,337,751
0.042,4701,1906,4701,346,759
0.043,4757,1906,4757,354,767
0.044,4805,1906,4805,362,773
0.045,4839,1906,4839,370,781
0.046,4894,1934,4894,378,788
0.047,4947,2155,4947,387,804
0.048,4983,2423,4983,395,812
0.049,5022,2544,5022,404,821
0.05,5056,2709,5056,411,828
0.051,5084,2821,5084,419,835
0.052,5121,2968,5121,428,844
0.053,5167,3100,5167,436,852
0.054,5217,3205,5217,444,860
0.055,5264,3205,5264,452,867
0.056,5304,3276,5304,461,876
0.057,5339,3362,5339,468,881
0.058,5400,3468,5400,477,890
0.059,5422,3579,5422,485,898
0.06,5442,3690,5442,493,906
0.061,5507,3728,5507,501,914
0.062,5546,3728,5546,509,922
0.063,5578,3728,5578,518,931
0.064,5634,3728,5634,526,938
0.065,5650,3728,5650,534,946
0.066,5675,3728,5675,542,954
0.067,5712,3728,5712,550,962
0.068,5751,3728,5751,560,972
0.069,5776,3728,5776,567,979
0.07,5825,3728,5825,575,987
0.071,5868,3728,5868,583,995
0.072,5894,3728,5894,591,1002
0.073,5941,3728,5941,600,1011
0.074,5965,3728,5965,608,1019
0.075,5994,3728,5994,617,1028
0.076,6017,3777,6017,624,1035
0.077,6056,3908,6056,632,1041
0.078,6084,3982,6084,640,1047
0.079,6125,4045,6125,649,1055
0.08,6164,4092,6164,659,1065
0.081,6188,4193,6188,665,1071
0.082,6200,4268,6200,673,1078
0.083,6216,4372,6216,684,1089
0.084,6244,4426,6244,690,1094
0.085,6289,4447,6289,699,1101
0.086,6345,4528,6345,706,1106
0.087,6378,4609,6378,714,1114
0.088,6401,4672,6401,722,1122
0.089,6421,4722,6421,731,1129
0.09,6442,4795,6442,740,1137
0.091,6476,4832,6476,747,1144
0.092,6501,4896,6501,755,1149
0.093,6576,4927,6576,764,1157
0.094,6618,4957,6618,772,1165
0.095,6651,5000,6651,780,1172
0.096,6670,5034,6670,789,1181
0.097,6686,5079,6686,796,1188
0.098,6704,5116,6704,804,1195
0.099,6742,5146,6742,813,1203
0.1,6785,5207,6785,821,1209
0.101,6834,5257,6834,829,1216
0.102,6846,5303,6846,837,1222
0.103,6864,5360,6864,845,1228
0.104,6907,5402,6907,853,1234
0.105,6940,5429,6940,862,1243
0.106,6975,5470,6975,870,1249
0.107,7024,5520,7024,878,1255
0.108,7059,5556,7059,886,1260
0.109,7095,5598,7095,894,1268
0.11,7135,5647,7135,903,1276
0.111,7166,5665,7166,911,1284
0.112,7195,5709,7195,919,1287
0.113,7223,5748,7223,927,1292
0.114,7256,5763,7256,935,1423
0.115,7287,5800,7287,944,1428
0.116,7311,5859,7311,952,1433
0.117,7331,5901,7331,960,1437
0.118,7355,5941,7355,968,1443
0.119,7393,5967,7393,976,1447
0.12,7435,6003,7435,985,1453
0.121,7487,6022,7487,993,1455
0.122,7520,6084,7520,1001,1460
0.123,7546,6113,7546,1009,1465
0.124,7569,6164,7569,1017,1468
0.125,7596,6188,7596,1026,1472
0.126,7614,6206,7614,1035,1478
0.127,7628,6216,7628,1042,1481
0.128,7657,6272,7657,1050,1484
0.129,7695,6345,7695,1058,1488
0.13,7720,6378,7720,1066,1491
0.131,7746,6409,7746,1075,1492
0.132,7783,6426,7783,1083,1495
0.133,7805,6449,7805,1092,1502
0.134,7838,6490,7838,1099,1504
0.135,7859,6576,7859,1107,1507
0.136,7876,6621,7876,1116,1512
0.137,7902,6656,7902,1124,1515
0.138,7910,6677,7910,1132,1519
0.139,7926,6691,7926,1140,1524
0.14,7949,6728,7949,1148,1530
0.141,7996,6775,7996,1157,1534
0.142,8016,6836,8016,1165,1538
0.143,8067,6860,8067,1173,1541
0.144,8087,6907,8087,1181,1546
0.145,8112,6940,8112,1189,1676
0.146,8130,6991,8130,1198,1681
0.147,8155,7045,8155,1206,1687
0.148,8179,7095,8179,1214,1690
0.149,8214,7137,8214,1222,1692
0.15,8242,7172,8242,1230,1696
0.151,8286,7235,8286,1238,1699
0.152,8324,7235,8324,1247,1704
0.153,8360,7235,8360,1255,1708
0.154,8373,7235,8373,1263,1708
0.155,8406,7235,8406,1273,1711
0.156,8419,7235,8419,1279,1714
0.157,8437,7235,8437,1288,1718
0.158,8462,7235,8462,1296,1721
0.159,8482,7235,8482,1304,1723
0.16,8511,7235,8511,1312,1724
0.161,8537,7235,8537,1320,1724
0.162,8564,7235,8564,1329,1726
0.163,8588,7235,8588,1337,1726
0.164,8600,7235,8600,1345,1731
0.165,8628,7235,8628,1353,1733
0.166,8657,7251,8657,1361,1736
0.167,8697,7306,8697,1371,1737
0.168,8730,7343,8730,1378,1866
0.169,8755,7408,8755,1386,1868
0.17,8769,7494,8769,1394,1872
0.171,8785,7537,8785,1404,1872
0.172,8803,7606,8803,1411,1874
0.173,8819,7630,8819,1419,1876
0.174,8835,7711,8835,1427,1878
0.175,8863,7805,8863,1435,1883
0.176,8890,7861,8890,1443,1884
0.177,8931,7909,8931,1451,1887
0.178,8965,7927,8965,1460,1887
0.179,8976,7996,8976,1468,1887
0.18,9000,8072,9000,1477,1887
0.181,9018,8088,9018,1484,1889
0.182,9037,8088,9037,1492,1889
0.183,9067,8088,9067,1501,1893
0.184,9092,8088,9092,1509,1895
0.185,9123,8088,9123,1517,1895
0.186,9140,8088,9140,1526,1897
0.187,9160,8088,9160,1533,2025
0.188,9176,8088,9176,1542,2026
0.189,9192,8088,9192,1550,2027
0.19,9207,8088,9207,1558,2029
0.191,9238,8088,9238,1566,2029
0.192,9247,8088,9247,1574,2030
0.193,9272,8088,9272,1583,2030
0.194,9293,8088,9293,1591,2030
0.195,9324,8088,9324,1599,2030
0.196,9354,8126,9354,1608,2030
0.197,9373,8162,9373,1615,2031
0.198,9398,8237,9398,1624,2033
0.199,9425,8331,9425,1632,2034
0.2,9441,8419,9441,1640,2035
0.201,9477,8463,9477,1649,2035
0.202,9493,8593,9493,1656,2035
0.203,9535,8699,9535,1664,2035
0.204,9567,8699,9567,1673,2163
0.205,9607,8699,9607,1681,2164
0.206,9618,8699,9618,1689,2166
0.207,9633,8699,9633,1697,2166
0.208,9658,8699,9658,1706,2167
0.209,9683,8699,9683,1714,2167
0.21,9710,8699,9710,1722,2168
0.211,9725,8699,9725,1730,2168
0.212,9752,8699,9752,1738,2168
0.213,9778,8699,9778,1746,2168
0.214,9792,8699,9792,1756,2168
0.215,9810,8699,9810,1763,2168
0.216,9831,8699,9831,1771,2168
0.217,9880,8699,9880,1780,2170
0.218,9906,8755,9906,1787,2172
0.219,9936,8819,9936,1796,2300
0.22,9959,8893,9959,1806,2300
0.221,9978,9067,9978,1812,2300
0.222,10004,9141,10004,1820,2300
0.223,10023,9141,10023,1829,2300
0.224,10045,9141,10045,1837,2300
0.225,10064,9141,10064,1845,2300
0.226,10103,9141,10103,1853,2300
0.227,10134,9141,10134,1861,2301
0.228,10157,9141,10157,1869,2301
0.229,10198,9141,10198,1877,2301
0.23,10210,9141,10210,1886,2301
0.231,10231,9141,10231,1894,2301
0.232,10249,9141,10249,1903,2301
0.233,10268,9141,10268,1910,2301
0.234,10295,9141,10295,1919,2302
0.235,10333,9141,10333,1927,2430
0.236,10364,9141,10364,1935,2431
0.237,10387,9244,10387,1943,2431
0.238,10410,9554,10410,1951,2431
0.239,10428,9554,10428,1960,2431
0.24,10462,9554,10462,1968,2431
0.241,10482,9554,10482,1976,2431
0.242,10505,9554,10505,1984,2431
0.243,10528,9554,10528,1992,2431
0.244,10539,9554,10539,2000,2431
0.245,10553,9554,10553,2009,2431
0.246,10585,9554,10585,2017,2431
0.247,10610,9554,10610,2025,2431
0.248,10631,9554,10631,2033,2431
0.249,10651,9554,10651,2041,2431
0.25,10666,9554,10666,2050,2431
0.251,10685,9554,10685,2058,2559
0.252,10710,9554,10710,2068,2559
0.253,10727,9635,10727,2075,2559
0.254,10749,9913,10749,2082,2559
0.255,10765,9913,10765,2090,2559
0.256,10795,9913,10795,2099,2559
0.257,10815,9913,10815,2107,2559
0.258,10834,9913,10834,2115,2559
0.259,10859,9913,10859,2123,2560
0.26,10875,9913,10875,2131,2560
0.261,10907,9913,10907,2141,2560
0.262,10927,9913,10927,2149,2560
0.263,10949,9913,10949,2156,2560
0.264,10983,9913,10983,2164,2560
0.265,11007,9913,11007,2172,2563
0.266,11034,9913,11034,2181,2563
0.267,11046,9913,11046,2189,2563
0.268,11068,9913,11068,2197,2563
0.269,11088,10319,11088,2205,2691
0.27,11124,10319,11124,2213,2692
0.271,11147,10319,11147,2222,2692
0.272,11161,10319,11161,2231,2694
0.273,11178,10319,11178,2238,2694
0.274,11187,10319,11187,2246,2694
0.275,11208,10319,11208,2254,2694
0.276,11239,10319,11239,2262,2696
0.277,11275,10319,11275,2271,2696
0.278,11287,10319,11287,2279,2696
0.279,11332,10319,11332,2287,2696
0.28,11370,10319,11370,2295,2696
0.281,11413,10319,11413,2304,2696
0.282,11444,10319,11444,2313,2696
0.283,11459,10319,11459,2320,2696
0.284,11500,10673,11500,2328,2696
0.285,11529,10673,11529,2336,2696
0.286,11545,10673,11545,2344,2824
0.287,11562,10673,11562,2353,2824
0.288,11606,10673,11606,2361,2824
0.289,11616,10673,11616,2370,2824
0.29,11631,10673,11631,2377,2824
0.291,11674,10673,11674,2385,2825
