quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,68,68,68,1,256
0.001,231,68,231,35,515
0.002,258,68,258,68,1030
0.003,295,68,295,100,1290
0.004,326,68,326,133,1296
0.005,346,68,346,166,1560
0.006,364,68,364,200,1834
0.007,385,224,385,232,1973
0.008,408,224,408,269,1990
0.009,424,224,424,298,2000
0.01,453,224,453,331,2004
0.011,472,224,472,367,2025
0.012,489,224,489,396,2043
0.013,510,224,510,430,2309
0.014,532,242,532,462,2322
0.015,551,248,551,496,2337
0.016,575,248,575,530,2350
0.017,596,248,596,562,2751
0.018,611,248,611,596,2769
0.019,626,248,626,627,2783
0.02,641,248,641,663,2811
0.021,652,258,652,692,2833
0.022,671,258,671,726,2844
0.023,685,258,685,758,2862
0.024,699,258,699,791,3140
0.025,719,258,719,824,3287
0.026,737,258,737,857,3296
0.027,752,258,752,891,3570
0.028,766,288,766,925,3593
0.029,780,295,780,955,3603
0.03,796,295,796,990,3621
0.031,805,295,805,1022,3651
0.032,815,295,815,1054,3675
0.033,827,295,827,1088,3698
0.034,841,295,841,1121,3720
0.035,854,295,854,1154,3872
0.036,869,343,869,1186,3893
0.037,888,343,888,1219,4036
0.038,897,343,897,1253,4063
0.039,909,343,909,1284,4085
0.04,920,343,920,1321,4115
0.041,929,343,929,1351,4140
0.042,943,343,943,1386,4166
0.043,953,359,953,1417,4190
0.044,964,359,964,1451,4219
0.045,973,359,973,1484,4243
0.046,985,359,985,1517,4271
0.047,995,359,995,1549,4298
0.048,1007,359,1007,1587,4329
0.049,1019,359,1019,1615,4343
0.05,1029,378,1029,1651,4371
0.051,1039,378,1039,1679,4396
0.052,1048,378,1048,1712,4674
0.053,1055,378,1055,1745,4696
0.054,1070,408,1070,1781,4713
0.055,1079,475,1079,1811,4732
0.056,1090,493,1090,1847,4763
0.057,1099,493,1099,1879,4785
0.058,1108,493,1108,1909,5057
0.059,1117,493,1117,1944,5068
0.06,1126,493,1126,1975,5075
0.061,1136,493,1136,2008,5096
0.062,1147,493,1147,2044,5121
0.063,1155,532,1155,2074,5137
0.064,1163,581,1163,2110,5164
0.065,1172,581,1172,2141,5178
0.066,1182,581,1182,2173,5200
0.067,1189,581,1189,2206,5226
0.068,1197,584,1197,2241,5242
0.069,1205,584,1205,2274,5528
0.07,1216,584,1216,2305,5546
0.071,1225,584,1225,2337,5570
0.072,1233,584,1233,2372,5587
0.073,1240,584,1240,2404,5605
0.074,1247,584,1247,2436,5625
0.075,1254,609,1254,2471,5649
0.076,1261,639,1261,2503,5668
0.077,1267,653,1267,2534,5686
0.078,1277,692,1277,2567,5698
0.079,1286,697,1286,2604,5715
0.08,1297,697,1297,2635,5719
0.081,1305,697,1305,2673,5728
0.082,1312,697,1312,2699,5730
0.083,1320,697,1320,2736,5750
0.084,1327,697,1327,2765,5768
0.085,1335,697,1335,2798,6024
0.086,1342,704,1342,2831,6047
0.087,1348,704,1348,2870,6067
0.088,1354,704,1354,2898,6091
0.089,1360,715,1360,2930,6098
0.09,1367,751,1367,2962,6103
0.091,1374,751,1374,2998,6117
0.092,1381,751,1381,3032,6127
0.093,1386,751,1386,3061,6141
0.094,1393,751,1393,3097,6147
0.095,1401,751,1401,3130,6147
0.096,1409,751,1409,3160,6155
0.097,1415,753,1415,3193,6170
0.098,1424,790,1424,3225,6445
0.099,1435,805,1435,3258,6457
0.1,1444,823,1444,3292,6476
0.101,1452,842,1452,3328,6482
0.102,1459,848,1459,3358,6497
0.103,1466,848,1466,3394,6512
0.104,1471,848,1471,3423,6523
0.105,1478,854,1478,3459,6533
0.106,1484,883,1484,3492,6540
0.107,1491,883,1491,3526,6554
0.108,1500,883,1500,3556,6560
0.109,1508,883,1508,3589,6568
0.11,1515,894,1515,3620,6824
0.111,1523,912,1523,3656,6828
0.112,1531,925,1531,3687,6832
0.113,1540,943,1540,3720,6834
0.114,1545,956,1545,3753,6850
0.115,1551,971,1551,3785,6850
0.116,1558,986,1558,3819,6860
0.117,1565,1000,1565,3856,6875
0.118,1572,1021,1572,3888,6885
0.119,1578,1036,1578,3917,6885
0.12,1586,1045,1586,3957,6903
0.121,1591,1045,1591,3982,6912
0.122,1598,1045,1598,4018,7172
0.123,1603,1045,1603,4049,7179
0.124,1608,1045,1608,4082,7179
0.125,1614,1045,1614,4119,7195
0.126,1619,1045,1619,4151,7195
0.127,1626,1049,1626,4181,7207
0.128,1632,1073,1632,4212,7207
0.129,1639,1086,1639,4245,7215
0.13,1647,1103,1647,4285,7230
0.131,1651,1105,1651,4311,7242
0.132,1658,1105,1658,4345,7505
0.133,1666,1105,1666,4378,7505
0.134,1671,1105,1671,4416,7524
0.135,1677,1105,1677,4445,7529
0.136,1683,1105,1683,4476,7542
0.137,1691,1105,1691,4510,7560
0.138,1698,1132,1698,4541,7560
0.139,1705,1149,1705,4577,7572
0.14,1710,1162,1710,4610,7591
0.141,1716,1180,1716,4644,7602
0.142,1722,1191,1722,4677,7612
0.143,1729,1198,1729,4707,7616
0.144,1737,1198,1737,4741,7880
0.145,1742,1198,1742,4775,7884
0.146,1749,1198,1749,4807,7886
0.147,1756,1198,1756,4841,7890
0.148,1763,1198,1763,4874,7898
0.149,1768,1198,1768,4908,7903
0.15,1775,1205,1775,4936,7903
0.151,1782,1224,1782,4971,7909
0.152,1788,1238,1788,5003,7916
0.153,1797,1251,1797,5037,7919
0.154,1802,1263,1802,5067,7936
0.155,1810,1286,1810,5101,8195
0.156,1816,1320,1816,5135,8209
0.157,1821,1335,1821,5170,8211
0.158,1828,1335,1828,5200,8222
0.159,1837,1335,1837,5234,8222
0.16,1843,1335,1843,5266,8230
0.161,1850,1335,1850,5303,8253
0.162,1855,1335,1855,5337,8264
0.163,1861,1335,1861,5366,8268
0.164,1866,1342,1866,5398,8275
0.165,1873,1352,1873,5437,8542
0.166,1879,1372,1879,5464,8542
0.167,1885,1404,1885,5496,8542
0.168,1891,1418,1891,5535,8558
0.169,1897,1418,1897,5562,8563
0.17,1903,1418,1903,5597,8571
0.171,1910,1418,1910,5629,8574
0.172,1915,1418,1915,5662,8584
0.173,1920,1418,1920,5694,8597
0.174,1925,1418,1925,5726,8859
0.175,1933,1425,1933,5760,8869
0.176,1938,1455,1938,5793,8873
0.177,1945,1471,1945,5828,8873
0.178,1953,1500,1953,5857,8873
0.179,1958,1514,1958,5894,8877
0.18,1964,1514,1964,5926,8890
0.181,1971,1514,1971,5957,8890
0.182,1979,1514,1979,5990,8890
0.183,1985,1514,1985,6026,9160
0.184,1989,1514,1989,6056,9164
0.185,1996,1514,1996,6088,9173
0.186,2003,1552,2003,6125,9176
0.187,2008,1585,2008,6158,9176
0.188,2013,1593,2013,6191,9176
0.189,2019,1593,2019,6222,9176
0.19,2028,1593,2028,6253,9176
0.191,2035,1593,2035,6291,9440
0.192,2040,1593,2040,6321,9440
0.193,2047,1593,2047,6353,9440
0.194,2053,1593,2053,6383,9451
0.195,2061,1611,2061,6416,9458
0.196,2066,1643,2066,6450,9471
0.197,2073,1656,2073,6486,9477
0.198,2078,1656,2078,6518,9488
0.199,2087,1656,2087,6556,9493
0.2,2091,1656,2091,6582,9499
0.201,2096,1656,2096,6619,9761
0.202,2100,1656,2100,6648,9761
0.203,2105,1656,2105,6684,9761
0.204,2113,1669,2113,6716,9761
0.205,2118,1690,2118,6745,9761
0.206,2125,1709,2125,6780,9766
0.207,2131,1733,2131,6814,9769
0.208,2137,1733,2137,6850,9773
0.209,2142,1733,2142,6878,9777
0.21,2147,1733,2147,6915,10033
0.211,2152,1733,2152,6949,10033
0.212,2159,1733,2159,6978,10033
0.213,2165,1733,2165,7011,10033
0.214,2173,1744,2173,7049,10038
0.215,2178,1799,2178,7079,10049
0.216,2183,1805,2183,7112,10057
0.217,2189,1805,2189,7145,10065
0.218,2195,1805,2195,7174,10068
0.219,2201,1805,2201,7209,10329
0.22,2206,1805,2206,7239,10334
0.221,2215,1805,2215,7273,10334
0.222,2219,1805,2219,7304,10334
0.223,2225,1826,2225,7338,10340
0.224,2232,1847,2232,7373,10349
0.225,2238,1867,2238,7404,10356
0.226,2244,1867,2244,7437,10378
0.227,2249,1867,2249,7471,10381
0.228,2255,1867,2255,7505,10381
0.229,2261,1867,2261,7544,10645
0.23,2266,1867,2266,7573,10650
0.231,2272,1867,2272,7601,10650
0.232,2277,1890,2277,7636,10657
0.233,2283,1912,2283,7671,10661
0.234,2287,1925,2287,7699,10661
0.235,2293,1925,2293,7737,10661
0.236,2298,1925,2298,7767,10668
0.237,2305,1925,2305,7800,10677
0.238,2311,1925,2311,7836,10689
0.239,2316,1925,2316,7870,10945
0.24,2320,1925,2320,7901,10945
0.241,2324,1959,2324,7932,10963
0.242,2330,1980,2330,7966,10969
0.243,2336,1980,2336,7999,10972
0.244,2340,1980,2340,8029,10977
0.245,2347,1980,2347,8064,10977
0.246,2355,1980,2355,8098,10982
0.247,2360,1980,2360,8127,10982
0.248,2366,1980,2366,8168,10982
0.249,2370,1999,2370,8194,11242
0.25,2376,2033,2376,8229,11246
0.251,2381,2033,2381,8268,11255
0.252,2386,2033,2386,8293,11255
0.253,2392,2033,2392,8327,11255
0.254,2398,2033,2398,8361,11265
0.255,2402,2033,2402,8394,11275
0.256,2408,2033,2408,8423,11279
0.257,2414,2066,2414,8459,11283
0.258,2421,2093,2421,8491,11542
0.259,2426,2093,2426,8523,11542
0.26,2433,2093,2433,8557,11542
0.261,2438,2093,2438,8590,11548
0.262,2443,2093,2443,8620,11552
0.263,2448,2093,2448,8659,11565
0.264,2452,2093,2452,8689,11565
0.265,2458,2125,2458,8725,11565
0.266,2462,2144,2462,8753,11565
0.267,2472,2144,2472,8786,11575
0.268,2477,2144,2477,8821,11831
0.269,2483,2144,2483,8853,11831
0.27,2487,2144,2487,8887,11838
0.271,2492,2144,2492,8919,11844
0.272,2497,2144,2497,8950,11854
0.273,2505,2189,2505,8983,11854
0.274,2511,2200,2511,9017,11862
0.275,2516,2200,2516,9051,11865
0.276,2522,2200,2522,9084,11865
0.277,2528,2200,2528,9117,12124
0.278,2535,2200,2535,9147,12138
0.279,2541,2200,2541,9180,12143
0.28,2547,2200,2547,9216,12151
0.281,2551,2233,2551,9251,12151
0.282,2557,2261,2557,9286,12161
0.283,2564,2261,2564,9312,12161
0.284,2570,2261,2570,9344,12168
0.285,2576,2261,2576,9381,12181
0.286,2582,2261,2582,9411,12181
0.287,2589,2261,2589,9445,12442
0.288,2596,2261,2596,9480,12450
0.289,2601,2263,2601,9512,12455
0.29,2605,2311,2605,9544,12455
0.291,2611,2316,2611,9576,12455
0.292,2616,2316,2616,9609,12455
0.293,2621,2316,2621,9643,12455
0.294,2626,2316,2626,9674,12465
0.295,2634,2316,2634,9712,12469
0.296,2639,2316,2639,9741,12731
0.297,2644,2316,2644,9773,12731
0.298,2651,2355,2651,9808,12731
0.299,2655,2367,2655,9837,12731
0.3,2662,2367,2662,9875,12731
0.301,2668,2367,2668,9903,12733
0.302,2676,2367,2676,9936,12733
0.303,2683,2367,2683,9975,12733
0.304,2690,2367,2690,10005,12991
0.305,2698,2367,2698,10035,12991
0.306,2705,2401,2705,10074,12991
0.307,2710,2418,2710,10106,12997
0.308,2718,2418,2718,10138,12997
0.309,2724,2418,2724,10168,12997
0.31,2729,2418,2729,10201,12997
0.311,2736,2418,2736,10232,13005
0.312,2742,2418,2742,10267,13261
0.313,2748,2418,2748,10299,13261
0.314,2753,2465,2753,10336,13273
0.315,2758,2473,2758,10364,13277
0.316,2766,2473,2766,10402,13277
0.317,2770,2473,2770,10430,13277
0.318,2777,2473,2777,10469,13277
0.319,2782,2473,2782,10495,13533
0.32,2789,2473,2789,10532,13533
0.321,2797,2473,2797,10564,13536
0.322,2804,2515,2804,10601,13538
0.323,2809,2526,2809,10630,13538
0.324,2816,2526,2816,10661,13542
0.325,2821,2526,2821,10695,13542
0.326,2826,2526,2826,10726,13811
0.327,2832,2526,2832,10759,13814
0.328,2839,2526,2839,10798,13817
0.329,2844,2526,2844,10826,13820
0.33,2851,2557,2851,10857,13820
0.331,2860,2586,2860,10898,13823
