quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,17,105,17,1,0
0.001,45,134,45,134,0
0.002,53,138,53,266,0
0.003,59,140,59,398,0
0.004,65,164,65,537,0
0.005,70,169,70,668,0
0.006,75,200,75,792,0
0.007,80,249,80,936,0
0.008,84,273,84,1058,0
0.009,89,279,89,1206,0
0.01,93,280,93,1329,0
0.011,97,280,97,1459,0
0.012,101,280,101,1578,0
0.013,105,280,105,1715,32
0.014,109,280,109,1851,32
0.015,113,280,113,1999,32
0.016,116,280,116,2101,32
0.017,120,280,120,2250,32
0.018,124,280,124,2386,32
0.019,128,280,128,2528,32
0.02,131,280,131,2649,32
0.021,134,280,134,2778,80
0.022,137,280,137,2898,129
0.023,140,280,140,3030,220
0.024,144,280,144,3181,220
0.025,147,280,147,3317,269
0.026,150,280,150,3447,269
0.027,153,280,153,3572,269
0.028,156,280,156,3694,269
0.029,158,280,158,3804,269
0.03,161,280,161,3942,269
0.031,164,280,164,4090,325
0.032,167,280,167,4217,325
0.033,170,280,170,4371,377
0.034,172,280,172,4468,377
0.035,175,280,175,4618,377
0.036,177,280,177,4732,377
0.037,180,280,180,4860,377
0.038,183,280,183,5016,377
0.039,185,280,185,5122,377
0.04,188,280,188,5265,377
0.041,190,280,190,5392,377
0.042,192,280,192,5514,377
0.043,195,280,195,5666,377
0.044,197,280,197,5777,377
0.045,200,280,200,5950,431
0.046,202,280,202,6059,431
0.047,204,280,204,6174,431
0.048,206,280,206,6295,431
0.049,209,280,209,6474,431
0.05,211,280,211,6598,431
0.051,213,280,213,6705,431
0.052,215,280,215,6824,431
0.053,218,280,218,7018,431
0.054,219,280,219,7081,431
0.055,222,280,222,7252,431
0.056,224,280,224,7365,431
0.057,226,280,226,7474,431
0.058,229,280,229,7649,431
0.059,231,280,231,7753,431
0.06,233,280,233,7888,431
0.061,235,280,235,8019,431
0.062,238,280,238,8192,431
0.063,240,280,240,8329,431
0.064,242,280,242,8443,431
0.065,244,280,244,8568,431
0.066,246,280,246,8705,431
0.067,248,280,248,8837,431
0.068,250,280,250,8967,501
0.069,252,294,252,9103,501
0.07,253,302,253,9179,501
0.071,255,304,255,9308,501
0.072,258,311,258,9496,501
0.073,259,313,259,9570,501
0.074,261,330,261,9722,549
0.075,263,335,263,9879,549
0.076,265,339,265,10021,549
0.077,266,351,266,10105,549
0.078,268,356,268,10253,549
0.079,270,383,270,10381,549
0.08,272,383,272,10502,549
0.081,274,383,274,10656,605
0.082,276,383,276,10806,605
0.083,277,383,277,10882,605
0.084,279,383,279,11030,657
0.085,281,383,281,11180,4753
0.086,283,383,283,11322,4753
0.087,285,383,285,11473,4753
0.088,286,383,286,11546,4753
0.089,288,383,288,11685,4753
0.09,290,383,290,11820,4753
0.091,292,383,292,11964,4753
0.092,294,383,294,12106,4807
0.093,296,383,296,12267,4807
0.094,297,383,297,12347,4807
0.095,299,383,299,12484,4865
0.096,301,383,301,12649,4865
0.097,302,383,302,12723,4936
0.098,304,383,304,12895,4989
0.099,305,383,305,12986,4989
0.1,307,383,307,13139,4989
0.101,309,383,309,13299,4989
0.102,311,383,311,13462,5048
0.103,312,383,312,13556,5048
0.104,314,383,314,13704,5107
0.105,315,383,315,13777,5107
0.106,317,383,317,13936,5107
0.107,319,383,319,14091,5107
0.108,320,383,320,14168,5107
0.109,322,383,322,14319,5107
0.11,324,383,324,14475,5107
0.111,325,383,325,14561,5107
0.112,327,383,327,14716,5107
0.113,329,383,329,14870,5107
0.114,330,383,330,14949,5174
0.115,332,383,332,15108,5174
0.116,334,383,334,15271,5174
0.117,335,383,335,15365,5260
0.118,337,383,337,15516,5260
0.119,338,383,338,15603,5260
0.12,340,383,340,15764,5309
0.121,342,383,342,15929,5309
0.122,343,383,343,16020,5309
0.123,345,383,345,16190,5309
0.124,346,383,346,16263,5309
0.125,348,383,348,16427,5309
0.126,350,383,350,16594,5309
0.127,351,383,351,16680,5389
0.128,353,383,353,16844,5389
0.129,354,383,354,16920,5389
0.13,356,383,356,17095,5457
0.131,358,383,358,17250,5457
0.132,359,383,359,17333,5493
0.133,361,383,361,17511,5493
0.134,362,383,362,17593,5493
0.135,364,383,364,17778,5493
0.136,365,383,365,17865,5493
0.137,367,383,367,18024,5493
0.138,368,397,368,18104,5493
0.139,370,404,370,18245,5493
0.14,372,411,372,18417,5493
0.141,373,412,373,18512,5493
0.142,375,420,375,18698,5493
0.143,376,452,376,18791,5493
0.144,377,452,377,18893,5493
0.145,379,458,379,19071,5493
