quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,1,7,1,8,0
0.001,6,7,6,636,0
0.002,8,7,8,1434,32768
0.003,9,7,9,1963,32768
0.004,10,7,10,2565,32768
0.005,11,7,11,3241,33444
0.006,11,7,11,3241,33444
0.007,12,7,12,4012,34215
0.008,13,7,13,4774,34215
0.009,13,7,13,4774,34215
0.01,14,7,14,5618,34215
0.011,15,7,15,6460,34215
0.012,15,7,15,6460,34215
0.013,16,7,16,7359,35114
0.014,16,7,16,7359,35114
0.015,17,7,17,8269,36024
0.016,18,7,18,9151,36906
0.017,18,7,18,9151,36906
0.018,19,7,19,10030,36906
0.019,19,7,19,10030,36906
0.02,20,7,20,10896,36906
0.021,21,7,21,11733,37743
0.022,21,7,21,11733,37743
0.023,22,7,22,12636,38646
0.024,22,7,22,12636,38646
0.025,23,7,23,13480,38646
0.026,24,7,24,14277,39443
0.027,24,7,24,14277,39443
0.028,25,7,25,15055,40221
0.029,26,7,26,15884,40221
0.03,26,7,26,15884,40221
0.031,27,7,27,16680,41017
0.032,28,7,28,17447,41017
0.033,28,7,28,17447,41017
0.034,29,7,29,18316,41886
0.035,30,7,30,19118,41886
0.036,30,7,30,19118,41886
0.037,31,7,31,20000,42768
0.038,31,7,31,20000,42768
0.039,32,7,32,20970,43738
0.04,33,7,33,21980,44748
0.041,33,7,33,21980,44748
0.042,34,7,34,22994,45762
0.043,34,7,34,22994,45762
0.044,35,7,35,24042,46810
0.045,35,7,35,24042,46810
0.046,36,7,36,25132,47900
0.047,36,7,36,25132,47900
0.048,37,7,37,26262,49030
0.049,37,7,37,26262,49030
0.05,37,7,37,26262,49030
0.051,38,7,38,27423,50191
0.052,38,7,38,27423,50191
0.053,39,7,39,28537,50191
0.054,39,7,39,28537,50191
0.055,40,7,40,29708,51362
0.056,40,7,40,29708,51362
0.057,41,7,41,30904,52558
0.058,41,7,41,30904,52558
0.059,42,7,42,32092,53746
0.06,42,11,42,32092,53746
0.061,42,12,42,32092,53746
0.062,43,16,43,33282,54936
0.063,43,16,43,33282,54936
0.064,44,17,44,34482,56136
0.065,44,17,44,34482,56136
0.066,45,18,45,35640,57294
0.067,45,21,45,35640,57294
0.068,46,21,46,36804,58458
0.069,46,22,46,36804,58458
0.07,46,24,46,36804,58458
0.071,47,24,47,37959,59613
0.072,47,25,47,37959,59613
0.073,48,27,48,39104,60758
0.074,48,27,48,39104,60758
0.075,49,29,49,40263,61917
0.076,49,31,49,40263,61917
0.077,50,31,50,41430,63084
0.078,50,32,50,41430,63084
0.079,51,33,51,42609,64263
0.08,51,33,51,42609,64263
0.081,51,34,51,42609,64263
0.082,52,34,52,43760,65414
0.083,52,35,52,43760,65414
0.084,53,35,53,44935,66589
0.085,53,36,53,44935,66589
0.086,54,36,54,46116,67770
0.087,54,37,54,46116,67770
0.088,55,37,55,47304,68958
0.089,55,38,55,47304,68958
0.09,55,38,55,47304,68958
0.091,56,40,56,48523,70177
0.092,56,40,56,48523,70177
0.093,57,41,57,49790,71444
0.094,57,41,57,49790,71444
0.095,58,42,58,51041,71444
0.096,58,42,58,51041,71444
0.097,58,42,58,51041,71444
0.098,59,43,59,52348,72751
0.099,59,43,59,52348,72751
0.1,60,44,60,53644,74047
0.101,60,44,60,53644,74047
0.102,60,45,60,53644,74047
0.103,61,45,61,54929,75332
0.104,61,46,61,54929,75332
0.105,62,46,62,56257,76660
0.106,62,47,62,56257,76660
0.107,62,47,62,56257,76660
0.108,63,48,63,57621,78024
0.109,63,48,63,57621,78024
0.11,64,49,64,58982,79385
0.111,64,49,64,58982,79385
0.112,64,50,64,58982,79385
0.113,65,50,65,60387,80790
0.114,65,51,65,60387,80790
0.115,65,51,65,60387,80790
0.116,66,51,66,61704,82107
0.117,66,52,66,61704,82107
0.118,67,52,67,63055,83458
0.119,67,53,67,63055,83458
0.12,67,53,67,63055,83458
0.121,68,54,68,64431,84707
0.122,68,54,68,64431,84707
0.123,69,55,69,65761,86037
0.124,69,55,69,65761,86037
0.125,69,56,69,65761,86037
0.126,70,56,70,67155,118805
0.127,70,57,70,67155,118805
0.128,71,57,71,68572,120222
0.129,71,57,71,68572,120222
0.13,71,59,71,68572,120222
0.131,72,59,72,69937,121015
0.132,72,60,72,69937,121015
0.133,72,60,72,69937,121015
0.134,73,61,73,71357,121015
0.135,73,61,73,71357,121015
0.136,74,61,74,72723,121015
0.137,74,62,74,72723,121015
0.138,74,62,74,72723,121015
0.139,75,63,75,74126,122418
0.14,75,63,75,74126,122418
0.141,75,64,75,74126,122418
0.142,76,64,76,75497,122418
0.143,76,64,76,75497,122418
0.144,77,65,77,76903,123824
0.145,77,65,77,76903,123824
0.146,77,66,77,76903,123824
0.147,78,66,78,78303,125224
0.148,78,66,78,78303,125224
0.149,78,67,78,78303,125224
0.15,79,67,79,79692,125224
0.151,79,68,79,79692,125224
0.152,80,68,80,81152,126684
0.153,80,69,80,81152,126684
0.154,80,69,80,81152,126684
0.155,81,69,81,82551,126684
0.156,81,70,81,82551,126684
0.157,81,70,81,82551,126684
0.158,82,70,82,83907,128040
0.159,82,70,82,83907,128040
0.16,83,70,83,85355,128040
0.161,83,70,83,85355,128040
0.162,83,70,83,85355,128040
0.163,84,70,84,86704,129389
0.164,84,70,84,86704,129389
0.165,84,70,84,86704,129389
0.166,85,70,85,88122,130807
0.167,85,70,85,88122,130807
0.168,86,70,86,89594,132279
0.169,86,70,86,89594,132279
0.17,86,70,86,89594,132279
0.171,87,70,87,90995,133680
0.172,87,70,87,90995,133680
0.173,87,70,87,90995,133680
0.174,88,70,88,92449,135134
0.175,88,70,88,92449,135134
0.176,88,70,88,92449,135134
0.177,89,70,89,93938,135134
0.178,89,70,89,93938,135134
0.179,90,70,90,95358,136554
0.18,90,70,90,95358,136554
0.181,90,70,90,95358,136554
0.182,91,70,91,96770,137966
0.183,91,70,91,96770,137966
0.184,91,70,91,96770,137966
0.185,92,70,92,98223,139419
0.186,92,70,92,98223,139419
0.187,92,70,92,98223,139419
0.188,93,70,93,99665,140861
0.189,93,70,93,99665,140861
0.19,94,70,94,101151,140861
0.191,94,70,94,101151,140861
0.192,94,70,94,101151,140861
0.193,95,70,95,102615,140861
0.194,95,70,95,102615,140861
0.195,95,70,95,102615,140861
0.196,96,70,96,104086,140861
0.197,96,70,96,104086,140861
0.198,96,70,96,104086,140861
0.199,97,70,97,105574,140861
0.2,97,70,97,105574,140861
0.201,97,70,97,105574,140861
0.202,98,70,98,106965,140861
0.203,98,70,98,106965,140861
0.204,99,70,99,108399,140861
0.205,99,70,99,108399,140861
0.206,99,70,99,108399,140861
0.207,100,70,100,109832,141447
0.208,100,70,100,109832,141447
0.209,100,70,100,109832,141447
0.21,101,70,101,111288,142903
0.211,101,70,101,111288,142903
0.212,101,70,101,111288,142903
