quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,23275,7762.98,1,2358.33,1094.16
0.003,23725,4747.46,1,2438.19,466.49
0.004,28650,22891.1,1,2361.52,445.69
0.005,21441.7,5633.25,1,2080.13,413.614
0.006,21125,3214.49,1,2015.01,206.74
0.007,20758.3,1655.55,1,2201.25,263.754
0.008,22425,4041.85,1,2266.77,356.845
0.009,21716.7,2615.63,1,2247.23,371.448
0.01,20550,1244.99,1,2245.6,347.769
0.011,20516.7,1311.37,1,2353.8,431.408
0.012,21175,2147.36,1,2246.15,378.049
0.013,20716.7,1090.32,1,2262.18,344.213
0.014,21866.7,4085.3,1,2171.85,352.067
0.015,25591.7,18083.7,1,2222.65,393.423
0.016,19616.7,5490.46,1,2043.55,383.908
0.017,19083.3,1302.33,1,2095.3,294.015
0.018,20766.7,1389.14,1,2274.61,349.825
0.019,21025,3202.31,1,2347.88,453.338
0.02,21066.7,1393.71,1,2153.99,223.403
0.021,20450,873.343,1,2437.83,483.926
0.022,21616.7,3547.56,1,2311.49,398.281
0.023,21191.7,2281.73,1,2250.96,366.161
0.024,20633.3,1326.88,1,2129.25,215.695
0.025,21916.7,2979.27,1,2285.77,400.816
0.026,21033.3,2004.24,1,2182.15,286.826
0.027,25400,16123.4,1,2231.85,302.58
0.028,25591.7,4921.1,1,2544.32,480.962
0.029,20658.3,1510.24,1,2228.69,321.447
0.03,22041.7,4562.79,1,2235.72,328.114
0.031,20833.3,1409.92,1,2111.31,208.755
0.032,21300,1625.93,1,2234.28,330.405
0.033,21666.7,3517.57,1,2161.19,310.253
0.034,20800,1568.44,1,2280.1,487.063
0.035,20766.7,1381.92,1,2306.67,425.376
0.036,21741.7,3207.51,1,2108.89,229.721
0.037,21025,1782.3,1,2159.07,206.158
0.038,20625,1336.97,1,2279.92,427.325
0.039,28858.3,22067.1,1,2214.99,390.349
0.04,20750,3765.03,1,1984.58,219.346
0.041,19233.3,1998.79,1,2332.05,532.157
0.042,20933.3,1463.08,1,3352.67,3989.34
0.043,21016.7,1888.64,1,2337.72,405.626
0.044,21075,1560.38,1,2244.81,299.366
0.045,22883.3,4190,1,2287.07,388.497
0.046,21841.7,2780.6,1,2182.26,210.075
0.047,21675,3589.92,1,2423.52,431.301
0.048,22308.3,2846.52,1,2335.29,371.306
0.049,20666.7,1525.14,1,2177.94,271.612
0.05,20500,1268.5,1,2273.16,435.339
0.051,28083.3,18548.9,1,2272.76,515.902
0.052,20633.3,3853.77,1,2081.06,217.452
0.053,25575,5663.78,1,2248.42,316.748
0.054,26066.7,4274.94,1,2454.04,475.611
0.055,25191.7,4876.56,1,2304.5,313.678
0.056,23850,3650.28,1,2500.38,464.371
0.057,23241.7,6553.06,1,10516.7,28750.5
0.058,23300,5540.92,1,2876.39,921.732
0.059,20658.3,1561.73,1,2448.03,491.709
0.06,20825,1369.89,1,2320.67,417.412
0.061,27933.3,19829.1,1,2326.72,406.3
0.062,25416.7,3887.24,1,2293.89,456.423
0.0629999,31908.3,29097.2,1,2282.82,496.178
0.064,25600,9645.72,1,2331.9,416.035
0.065,20683.3,1230.55,1,4494.33,7878.82
0.066,23141.7,4175.35,1,2399.53,470.36
0.067,21275,2677.9,1,2233.29,314.346
0.068,21833.3,3525.32,1,2244.44,393.714
0.069,21675,2920.5,1,2270.37,381.01
0.07,20275,1227.06,1,2455.86,478.311
0.071,21641.7,3711.52,1,2279.66,299.33
0.072,24900,4233.2,1,2456.64,467.103
0.073,22733.3,3178.43,1,2388.05,476.737
0.074,28125,25165,1,2249,357.48
0.075,21500,2963.11,1,2187.42,209.297
0.076,21583.3,3788.7,1,2373.95,409.89
0.077,21983.3,3359.07,1,2231.16,272.482
0.078,20783.3,1564.28,1,2394.26,469.456
0.079,21283.3,3725.55,1,2324.52,465.215
0.08,21841.7,2789.09,1,2427.04,491.511
0.081,20341.7,1075.73,1,2293.92,388.533
0.082,20575,1262.12,1,2274.49,423.788
0.083,21591.7,2638.68,1,2214.54,358.537
0.084,20650,1578.55,1,2326.21,453.091
0.085,23825,3638.21,1,2268.85,366.047
0.086,21433.3,2884.86,1,2414.07,519.776
0.087,21766.7,4076.61,1,2359.51,450.79
0.088,20816.7,1601.04,1,2163.29,211.285
0.089,22300,3515.42,1,2305.27,375.705
0.09,22258.3,5637.77,1,2583.77,1413.33
0.091,20625,1708.87,1,2231.98,373.485
0.092,20991.7,2412.26,1,2219.33,316.542
0.093,20058.3,917.961,1,2109.94,220.18
0.094,22016.7,5971.88,1,2259.16,394.032
0.095,25750,17195.1,1,2213.26,305.735
0.096,23116.7,7154.13,1,2209.44,278.146
0.097,20675,1583.51,1,2367.45,486.523
0.098,21783.3,3127.25,1,2347.29,453.026
0.099,22983.3,4830.55,1,2187.27,210.792
0.1,23175,7478.83,1,2123.94,206.278
0.101,20475,1326.05,1,2318.66,384.388
0.102,22191.7,2894.34,1,2276.56,333.721
0.103,20691.7,1073.19,1,2323.05,419.837
0.104,21716.7,4099.41,1,2301.92,406.683
0.105,21191.7,2831.14,1,2333.49,431.819
0.106,20525,1017.24,1,2636.12,557.866
0.107,30183.3,19562.5,1,2411.34,398.728
0.108,28983.3,24743.8,1,2359.28,406.103
0.109,21683.3,2621.18,1,2279.94,390.911
0.11,23391.7,7957.32,1,2156.66,217.472
0.111,20800,1285.58,1,2329.72,419.72
0.112,22533.3,4504.21,1,2160.81,221.439
0.113,20933.3,1443.69,1,2280.07,350.235
0.114,21058.3,1485.97,1,2165.01,212.362
0.115,21850,3576.57,1,2230.42,330.401
0.116,20550,1170.47,1,2460.87,500.672
0.117,21866.7,2741.71,1,2221.74,252.591
0.118,28775,20856.5,1,2326.81,515.29
0.119,19575,2634.78,1,7643.9,19321.8
0.12,22191.7,5131.09,1,2920.33,823.799
0.121,21908.3,3332.34,1,2210.03,272.727
0.122,21116.7,2689.65,1,2384.17,429.301
0.123,21016.7,1803.45,1,2298.68,394.752
0.124,20675,1294.83,1,2416.56,488.339
0.125,21108.3,1600.83,1,2218.05,241.924
0.126,20966.7,1673.5,1,2409.84,474.123
0.127,20716.7,1263.35,1,2200.82,218.344
