quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,58.3333,66.8558,4939,33.3333,49.2366
0.003,75,45.2267,5903,69.4444,49.3674
0.004,83.3333,38.9249,6324,80.787,45.678
0.005,100,42.6401,6556,98.3989,29.7814
0.006,100,42.6401,7665,116.533,30.1561
0.007,91.6667,28.8675,8374,126.378,40.2588
0.008,191.667,28.8675,8914,227.198,58.8047
0.009,191.667,66.8558,9549,218.933,63.504
0.01,133.333,49.2366,9855,168.244,55.6432
0.011,200,195.402,10622,197.354,41.6491
0.012,166.667,49.2366,10957,224.779,54.3173
0.013,175,45.2267,11263,227.065,34.9434
0.014,216.667,158.592,11775,218.922,19.8437
0.015,166.667,49.2366,11950,243.244,49.0952
0.016,183.333,38.9249,12525,236.937,44.3605
0.017,183.333,38.9249,12791,253.078,53.4188
0.018,216.667,38.9249,13015,446.09,531.541
0.019,183.333,38.9249,13490,303.841,63.0881
0.02,200,42.6401,13610,300.32,52.446
0.021,233.333,49.2366,15152,333.36,57.7889
0.022,250,52.2233,15270,336.113,40.9936
0.023,283.333,71.7741,15460,369.676,103.845
0.024,258.333,51.4929,16079,355.806,55.5896
0.025,275,62.1582,16551,412.984,107.565
0.026,291.667,51.4929,16991,384.415,63.4755
0.027,308.333,66.8558,17519,407.035,70.6323
0.028,408.333,79.2961,17675,675.586,105.763
0.029,291.667,90.0337,18081,439.632,110.703
0.03,341.667,66.8558,18312,528.303,143.141
0.031,408.333,90.0337,18523,677.359,108.74
0.032,458.333,66.8558,18680,781.447,113.154
0.033,375,121.543,18912,598.454,164.501
0.034,583.333,102.986,19350,983.204,158.595
0.035,483.333,38.9249,19760,823.6,108.662
0.036,316.667,38.9249,20231,543.633,84.8181
0.037,366.667,77.8499,20361,578.636,117.311
0.038,350,52.2233,20511,548.22,66.0709
0.039,366.667,65.1339,20839,604.018,82.1739
0.04,433.333,137.069,20859,692.002,175.72
0.041,375,62.1582,20967,591,77.8973
0.042,416.667,102.986,21262,682.583,163.999
0.043,408.333,51.4929,21407,598.549,78.7154
0.044,408.333,51.4929,21668,624.879,81.1473
0.045,408.333,51.4929,22200,652.073,81.2519
0.046,408.333,51.4929,22424,646.006,87.7399
0.047,416.667,38.9249,22515,645.501,87.4026
0.048,433.333,49.2366,22810,687.125,74.7582
0.049,433.333,49.2366,22914,790.594,77.5104
0.05,450,52.2233,22937,774.216,95.9786
0.051,458.333,51.4929,23087,789.518,91.7243
0.052,483.333,38.9249,23266,807.46,85.9192
0.053,508.333,51.4929,23344,858.955,97.0404
0.054,516.667,57.735,23482,829.913,100.339
0.055,541.667,51.4929,23969,819.159,89.1865
0.056,491.667,51.4929,24031,826.597,97.7819
0.057,533.333,49.2366,24161,877.216,107.112
0.058,516.667,38.9249,24300,864.768,92.1459
0.059,550,52.2233,24572,938.731,89.9886
0.06,575,62.1582,24705,928.228,114.226
0.061,541.667,51.4929,25170,935.686,104.916
0.062,583.333,57.735,25296,944.64,104.329
0.0629999,566.667,49.2366,25372,945.387,121.031
0.064,591.667,28.8675,25613,1003.78,103.177
0.065,608.333,51.4929,25768,1025.32,101.46
