quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,633.333,234.844,1,1.38161e+08,2.52818e+06
0.003,591.667,144.338,1,1.47356e+08,1.21222e+07
0.004,525,128.806,1,1.49704e+08,1.3321e+07
0.005,525,105.529,1,1.49132e+08,1.34693e+07
0.006,516.667,71.7741,1,1.49972e+08,1.31762e+07
0.007,550,131.426,1,1.5141e+08,1.31118e+07
0.008,566.667,172.328,1,1.51946e+08,1.33086e+07
0.009,575,154.479,1,1.54873e+08,1.40608e+07
0.01,558.333,197.523,1,1.52207e+08,1.38258e+07
0.011,566.667,222.928,1,1.52524e+08,1.34331e+07
0.012,516.667,102.986,1,1.51905e+08,1.35463e+07
0.013,516.667,93.7437,1,1.50438e+08,1.34302e+07
0.014,583.333,194.625,1,1.47865e+08,1.31456e+07
0.015,583.333,71.7741,1,1.4862e+08,1.36671e+07
0.016,666.667,161.433,1,1.48984e+08,1.33261e+07
0.017,616.667,83.4847,1,1.47442e+08,1.3044e+07
0.018,633.333,172.328,1,1.48584e+08,1.30775e+07
0.019,583.333,119.342,1,1.47648e+08,1.29715e+07
0.02,683.333,185.047,1,1.48584e+08,1.29668e+07
0.021,650,173.205,1,1.4772e+08,1.3023e+07
0.022,600,42.6401,1,1.48146e+08,1.33208e+07
0.023,608.333,124.011,1,1.49612e+08,1.45814e+07
0.024,583.333,140.346,1,1.49139e+08,1.31309e+07
0.025,500,127.92,1,1.50822e+08,1.33458e+07
0.026,616.667,158.592,1,1.50048e+08,1.3194e+07
0.027,525,128.806,1,1.48845e+08,1.31426e+07
0.028,475,113.818,1,1.49474e+08,1.31388e+07
0.029,500,112.815,1,1.49003e+08,1.32839e+07
0.03,516.667,111.464,1,1.49523e+08,1.31824e+07
0.031,525,165.831,1,1.51029e+08,1.32867e+07
0.032,508.333,156.428,1,1.49975e+08,1.3284e+07
0.033,483.333,119.342,1,1.49145e+08,1.31087e+07
0.034,466.667,88.7625,1,1.49887e+08,1.30844e+07
0.035,508.333,192.865,1,1.49677e+08,1.32117e+07
0.036,525,135.68,1,1.49602e+08,1.37873e+07
0.037,600,252.262,1,1.49005e+08,1.32189e+07
0.038,533.333,107.309,1,1.51356e+08,1.31009e+07
0.039,475,142.223,1,1.51354e+08,1.33411e+07
0.04,641.667,156.428,1,1.56864e+08,1.56755e+07
0.041,558.333,79.2961,1,1.53519e+08,1.37983e+07
0.042,525,96.5307,1,1.52034e+08,1.34054e+07
0.043,541.667,206.522,1,1.52656e+08,1.33888e+07
0.044,541.667,162.135,1,1.50153e+08,1.35334e+07
0.045,533.333,143.548,1,1.49884e+08,1.34062e+07
0.046,550,131.426,1,1.52382e+08,1.32073e+07
0.047,500,95.3463,1,1.51493e+08,1.33612e+07
0.048,550,90.4534,1,1.52178e+08,1.32317e+07
0.049,633.333,218.812,1,1.52049e+08,1.34415e+07
0.05,625,176.455,1,1.50552e+08,1.35269e+07
0.051,1325,2455.47,1,1.52106e+08,1.317e+07
0.052,600,85.2803,1,1.52332e+08,1.34679e+07
0.053,516.667,146.68,1,1.51032e+08,1.33571e+07
0.054,591.667,90.0337,1,1.53763e+08,1.42053e+07
0.055,558.333,131.137,1,1.51102e+08,1.3566e+07
0.056,541.667,131.137,1,1.5145e+08,1.3257e+07
0.057,616.667,212.489,1,1.51449e+08,1.38278e+07
0.058,525,86.6025,1,1.51088e+08,1.34569e+07
0.059,500,85.2803,1,1.50963e+08,1.40074e+07
0.06,541.667,124.011,1,1.49816e+08,1.34664e+07
0.061,633.333,143.548,1,1.50261e+08,1.33823e+07
0.062,633.333,172.328,1,1.4868e+08,1.33124e+07
0.0629999,533.333,107.309,1,1.4927e+08,1.35293e+07
0.064,633.333,172.328,1,1.4759e+08,1.32123e+07
0.065,575,121.543,1,1.49275e+08,1.34547e+07
0.066,516.667,83.4847,1,1.47899e+08,1.32048e+07
0.067,591.667,124.011,1,1.47298e+08,1.33052e+07
0.068,650,150.756,1,1.46172e+08,1.30668e+07
0.069,541.667,116.45,1,1.46208e+08,1.28593e+07
0.07,541.667,99.6205,1,1.48206e+08,1.29069e+07
0.071,525,128.806,1,1.51525e+08,1.37785e+07
0.072,625,186.474,1,1.48365e+08,1.33873e+07
0.073,550,144.6,1,1.5307e+08,1.3409e+07
0.074,558.333,116.45,1,1.49166e+08,1.34584e+07
0.075,608.333,99.6205,1,1.48943e+08,1.32105e+07
0.076,558.333,108.362,1,1.49945e+08,1.3753e+07
0.077,508.333,116.45,1,1.51762e+08,1.317e+07
0.078,700,252.262,1,1.52838e+08,1.34089e+07
0.079,550,124.316,1,1.53021e+08,1.33929e+07
0.08,608.333,188.092,1,1.5395e+08,1.37686e+07
0.081,483.333,102.986,1,1.50057e+08,1.36805e+07
0.082,575,148.477,1,1.50634e+08,1.31151e+07
0.083,566.667,177.525,1,1.50742e+08,1.34928e+07
0.084,475,113.818,1,1.5001e+08,1.33252e+07
0.085,575,217.945,1,1.53475e+08,1.38333e+07
0.086,591.667,124.011,1,1.52427e+08,1.36621e+07
0.087,500,95.3463,1,1.52711e+08,1.33485e+07
0.088,533.333,166.969,1,1.50712e+08,1.34297e+07
0.089,550,167.874,1,1.53538e+08,1.37963e+07
0.09,516.667,93.7437,1,1.51517e+08,1.36729e+07
0.091,625,165.831,1,1.54014e+08,1.34104e+07
0.092,600,213.201,1,1.54091e+08,1.45017e+07
0.093,583.333,224.958,1,1.48412e+08,1.36528e+07
0.094,425,75.3778,1,1.49653e+08,1.31788e+07
0.095,416.667,93.7437,1,1.52102e+08,1.3519e+07
0.096,583.333,194.625,1,1.47694e+08,1.34254e+07
0.097,525,200.567,1,1.48455e+08,1.30713e+07
0.098,466.667,115.47,1,1.48624e+08,1.30921e+07
0.099,491.667,108.362,1,1.48445e+08,1.30936e+07
0.1,466.667,143.548,1,1.46929e+08,1.32069e+07
0.101,525,113.818,1,1.51256e+08,1.47084e+07
0.102,441.667,99.6205,1,1.47107e+08,1.34521e+07
0.103,450,100,1,1.46134e+08,1.28909e+07
0.104,441.667,99.6205,1,1.47393e+08,1.27789e+07
0.105,491.667,99.6205,1,1.48139e+08,1.34222e+07
0.106,466.667,77.8499,1,1.46375e+08,1.31181e+07
0.107,491.667,210.878,1,1.47355e+08,1.32057e+07
0.108,533.333,115.47,1,1.4504e+08,1.29346e+07
0.109,483.333,83.4847,1,1.46683e+08,1.26778e+07
0.11,491.667,66.8558,1,1.45089e+08,1.30226e+07
0.111,533.333,98.4732,1,1.42962e+08,1.27013e+07
0.112,516.667,71.7741,1,1.4453e+08,1.26481e+07
0.113,483.333,133.712,1,1.47453e+08,1.32005e+07
0.114,550,67.42,1,1.4731e+08,1.30209e+07
0.115,583.333,180.067,1,1.48343e+08,1.29692e+07
0.116,533.333,65.1339,1,1.4728e+08,1.30202e+07
0.117,566.667,49.2366,1,1.47339e+08,1.28735e+07
0.118,508.333,131.137,1,1.43731e+08,1.30235e+07
0.119,625,209.436,1,1.43152e+08,1.26e+07
0.12,575,75.3778,1,1.44757e+08,1.32477e+07
0.121,575,142.223,1,1.43318e+08,1.27033e+07
0.122,558.333,162.135,1,1.43574e+08,1.26617e+07
0.123,525,45.2267,1,1.43126e+08,1.25592e+07
0.124,525,62.1582,1,1.42963e+08,1.25809e+07
0.125,533.333,65.1339,1,1.436e+08,1.25786e+07
0.126,566.667,115.47,1,1.43484e+08,1.2559e+07
0.127,491.667,90.0337,1,1.43233e+08,1.29141e+07
0.128,558.333,124.011,1,1.44712e+08,1.29911e+07
0.129,591.667,99.6205,1,1.44613e+08,1.27085e+07
0.13,583.333,164.225,1,1.57922e+08,1.70737e+07
0.131,641.667,156.428,1,1.52875e+08,1.49141e+07
0.132,650,178.377,1,1.51462e+08,1.36873e+07
0.133,641.667,156.428,1,1.50729e+08,1.37347e+07
0.134,741.667,423.102,1,1.48303e+08,1.38423e+07
0.135,583.333,158.592,1,1.4598e+08,1.31516e+07
0.136,608.333,90.0337,1,1.45269e+08,1.28288e+07
0.137,666.667,161.433,1,1.47472e+08,1.33193e+07
0.138,533.333,98.4732,1,1.48802e+08,1.37712e+07
0.139,666.667,137.069,1,1.48385e+08,1.31883e+07
0.14,558.333,150.504,1,1.48159e+08,1.31691e+07
0.141,541.667,183.196,1,1.53428e+08,1.33833e+07
0.142,566.667,77.8499,1,1.52516e+08,1.59833e+07
0.143,650,162.369,1,1.51861e+08,1.41554e+07
0.144,516.667,83.4847,1,1.49035e+08,1.39365e+07
0.145,508.333,116.45,1,1.49931e+08,1.32251e+07
0.146,541.667,90.0337,1,1.49678e+08,1.34993e+07
0.147,475,96.5307,1,1.48517e+08,1.32708e+07
0.148,566.667,130.268,1,1.50339e+08,1.44636e+07
