quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,152292,9577.57,1,7750,596.2
0.003,145617,2244.52,1,8320.83,714.035
0.004,145075,2008.22,1,8368.4,747.9
0.005,146008,1280.95,1,8372.37,753.12
0.006,144908,2500.71,1,8422.7,773.694
0.007,143883,2352.5,1,8335.22,768.662
0.008,144517,1955.33,1,8344.6,742.259
0.009,144950,1734.41,1,8353.72,747.882
0.01,147783,5435.21,1,8404.48,770.2
0.011,145275,2464.34,1,8233.71,740.62
0.012,146275,3350.47,1,8419.48,739.588
0.013,145567,1839.63,1,8451.62,812.294
0.014,146758,2630.06,1,8370.97,748.33
0.015,145850,2351.21,1,8347.58,748.949
0.016,152383,8992.81,1,8487.3,896.293
0.017,147025,1721.06,1,8382.27,751.135
0.018,147150,2918.44,1,8673.52,887.205
0.019,147742,2853.21,1,8497.79,789.278
0.02,145875,1758.16,1,8333.15,769.947
0.021,147033,3275.62,1,8444.43,766.192
0.022,147125,3228.04,1,8312.04,768.251
0.023,147200,2709.91,1,8534.34,783.2
0.024,146667,2937.02,1,8336.19,758.758
0.025,146758,1709.04,1,8619.68,836.349
0.026,152958,13670.5,1,8568.31,830.247
0.027,151808,11014.2,1,8589.03,784.006
0.028,145325,2396.64,1,8340.75,764.609
0.029,144967,6520.09,1,8178.4,775.463
0.03,144892,5465.01,1,8298.2,740.472
0.031,146042,1726.51,1,8333.18,742.738
0.032,145883,1236.44,1,8402.77,787.212
0.033,145150,1608.78,1,8341.9,750.383
0.034,152467,19467.2,1,8486.82,852.209
0.035,152150,8625.6,1,8690.57,944.828
0.036,147000,1819.09,1,8432.55,778.34
0.037,145908,2590.35,1,8361.05,773.163
0.038,146325,2377.98,1,8388.42,740.732
0.039,148333,6735.84,1,8332.37,765.816
0.04,146708,2973.66,1,8277.7,750.947
0.041,145708,1375.41,1,8273.14,741.463
0.042,146358,2481,1,8464.43,849.972
0.043,144892,9470.09,1,8663.7,1808.58
0.044,145558,2559.64,1,8338.64,763.571
0.045,145717,3528.03,1,8428.22,756.898
0.046,146108,2259.71,1,8469.02,825.007
0.047,147200,4044.08,1,8339.08,742.509
0.048,144633,2840.08,1,8286.59,749.845
0.049,144625,1515.45,1,8373.88,732.351
0.05,145808,2301.56,1,8247.82,740.652
0.051,145900,1745.12,1,8428.99,804.464
0.052,146208,2438.5,1,8435.75,780.916
0.053,146117,1911.13,1,8444.65,773.428
0.054,144758,1872.02,1,8462.05,768.269
0.055,144592,3715.68,1,8396.84,751.794
0.056,145233,2302.7,1,8349.74,758.367
0.057,145725,2677.9,1,8287.48,754.367
0.058,145342,2310.63,1,8557.29,936.674
0.059,144517,1875.12,1,8321.44,763.507
0.06,147308,3546.43,1,8485.12,875.965
0.061,145367,2308.61,1,8340.43,787.823
0.062,145283,2376.72,1,8411.7,771.913
0.0629999,144283,2574.29,1,8384.31,852.474
0.064,143167,5645.49,1,8290.36,784.397
0.065,142675,5261.89,1,8324.2,757.685
0.066,145108,2282.53,1,8318.68,744.532
0.067,144708,2144.11,1,8284.89,772.047
0.068,145817,2798.32,1,8423.74,763.21
0.069,144892,1791.12,1,8485.31,756.23
0.07,145692,1723.35,1,8423.78,770.918
0.071,145900,2540.94,1,8476.98,828.833
0.072,144725,2486.74,1,8314.75,762.667
0.073,145658,2198.12,1,8401.23,774.079
0.074,145692,3262.03,1,8366.77,763.316
0.075,146075,3297.69,1,8463.9,832.357
0.076,145775,2382.18,1,8338.66,748.167
0.077,144392,1875.9,1,8444.89,832.585
0.078,145533,2096.9,1,8320.41,769.918
0.079,145575,1735.79,1,8368.37,753.921
0.08,145425,2420.79,1,8364.03,748.527
0.081,145458,1628.42,1,8447,780.472
0.082,144958,2974.88,1,8345.58,745.65
0.083,146017,1980.28,1,8437.13,823.185
0.084,146125,6701.98,1,8486.43,850.112
0.085,144133,2325.88,1,8415.54,785.762
0.086,144858,2208.44,1,8359.63,751.467
0.087,144300,2047.17,1,8454.97,788.182
0.088,143458,1479.22,1,8337.91,770.163
0.089,142958,2020.11,1,8461.49,837.791
0.09,144058,2313.78,1,8405.12,759.62
0.091,146133,5553.27,1,8425.43,791.456
0.092,143725,1709.4,1,8485.45,829.738
0.093,143700,2925.44,1,8298.79,753.793
0.094,145217,3830.22,1,8374.9,738.338
0.095,143683,1431.99,1,8506.24,816.579
0.096,143417,1645.29,1,8258.85,759.216
0.097,143833,1393.06,1,8338.24,761.268
0.098,143842,2329.44,1,8511.52,848.061
0.099,143242,2071.21,1,8359.29,760.861
0.1,143425,2126.94,1,8704.94,1454.56
0.101,144542,2163.94,1,8333.75,783.076
0.102,143542,12472.5,1,8661.15,1878.95
0.103,143650,2113.81,1,8388.43,816.858
0.104,142833,1431.68,1,8290.7,736.934
0.105,143725,2428.29,2,8465.89,794.939
0.106,143508,2216.25,2,8388.82,764.56
0.107,144450,1873.98,2,8257.4,740.657
0.108,144875,3648.69,2,8363.12,725.215
0.109,144633,1041.27,2,8405.26,799.907
0.11,143142,3503.88,2,8333.77,754.07
0.111,143725,2722.67,2,8527.81,801.99
0.112,144325,3322.68,2,8418.98,768.131
0.113,143708,1540.05,2,8509.92,792.954
0.114,144275,2110.2,2,8567.49,840.176
0.115,143525,2251.11,2,8488.96,834.493
0.116,143117,1510.47,2,8399.08,754.092
0.117,143167,1828.23,2,8374.92,760.5
0.118,143367,2705.33,2,9381.24,3537.36
0.119,145067,5407.79,2,8565.1,838.515
0.12,143183,1521.86,2,8430.43,772.888
0.121,143108,2288.89,2,8410.87,866.162
0.122,144100,3126.14,2,8367.57,754.547
0.123,144767,2200.96,2,8388.96,754.659
0.124,144492,1463.78,2,8415.75,750.877
0.125,143325,2414.4,2,8451.31,764.723
0.126,144467,1870.02,2,8587.61,857.559
0.127,144592,3289.78,2,8448.97,810.898
0.128,143392,1273.83,2,8370.75,758.961
0.129,143867,1719.58,2,8472.56,786.383
0.13,143008,2505.07,2,8422.71,757.957
0.131,144792,2948.48,2,8335.23,749.501
0.132,143242,1642.31,2,8494.6,750.177
0.133,144408,2205.97,2,8491.22,770.514
0.134,143733,2012.84,2,8449.27,794.203
0.135,143367,2434.72,2,8362.44,753.123
0.136,157700,30255.2,2,8821.87,1136.61
0.137,149808,5141.36,2,8743.49,1104.36
0.138,149208,4899.44,2,8736.96,1326.68
0.139,147108,2032.67,2,8661.41,1008.56
0.14,150283,7521.1,2,8413.45,808.019
0.141,148058,4236.52,2,8409.45,773.94
0.142,149375,4790.92,2,8600.79,1327.81
0.143,145917,1807.98,2,8475.07,787.11
0.144,145775,9398.75,2,8306.26,806.02
0.145,145517,1938.99,2,8283.85,737.284
0.146,149742,8100.89,2,9531.99,3072.29
0.147,147358,2894.65,2,8469.33,862.193
0.148,152017,7835.1,2,8680.78,1228.48
0.149,146317,1842.84,2,8373.4,772.886
0.15,149425,6816.44,2,8422.78,804.877
0.151,145833,1130.84,2,8410.23,826.928
0.152,145675,8052.12,2,8300.85,789.428
0.153,145608,3013.14,2,8616.74,1276.55
0.154,146517,3943.2,2,8318.06,766.849
0.155,145942,5992.34,2,8501.51,1162.12
0.156,145358,1468.74,2,8391.79,821.351
0.157,147842,8250.78,2,8340.98,781.52
0.158,142683,4037.96,2,8120.08,734.906
0.159,145683,5697.34,2,8435.01,989.24
0.16,144133,4231.13,2,8211.25,771.025
0.161,147542,4242.95,2,8467.6,949.457
0.162,147600,7439.94,2,8297.3,746.211
0.163,146950,5478.14,2,8591.44,1349.67
0.164,147200,4662.23,2,8557.62,1275.7
0.165,146050,4054.51,2,8471.47,806.405
0.166,146200,4956.35,2,8630.96,1513.09
0.167,144958,1579.1,2,8344.25,765.85
0.168,142142,8436.66,2,8220.35,809.347
0.169,146750,3607.69,2,8385.03,726.886
0.17,148358,6182.45,2,8523.75,1104.63
0.171,145700,1384.33,2,8301.98,754.67
0.172,156942,16185.5,2,8750.16,1113.29
0.173,146033,2155.89,2,8362.51,773.906
0.174,149042,8187.96,2,8330.21,751.669
0.175,144733,1259.39,2,8319.18,738.915
0.176,146117,3426.06,2,8401.6,742.068
0.177,144375,1662.49,2,8366.8,758.566
0.178,145950,3289.52,2,8597.23,947.454
0.179,146767,4684.47,2,8499.77,1143.24
0.18,145275,1390.96,2,8324.98,750.655
0.181,145950,10061,2,8727.08,1271.47
0.182,144433,1527.53,2,8502.26,779.895
0.183,147492,5086.78,2,8583.52,1341.89
0.184,144900,1692.23,2,8356.96,760.995
0.185,149900,11204,2,8746.41,1436.87
0.186,153408,6571.63,2,8395.53,791.034
0.187,146892,2020.56,2,8432.96,800.069
0.188,145367,2844.24,2,8344.41,758.959
0.189,145167,4358.13,2,8570.37,801.459
0.19,143950,2056.7,2,8580.86,882.579
0.191,143567,2222.34,2,8565.07,869.002
0.192,143283,1509.26,2,8572.09,831.396
0.193,144025,2616.43,2,8406.01,778.891
0.194,146642,10837.8,2,8933.83,1804.44
0.195,143000,2269.16,2,8377.82,801.112
0.196,143292,2081.28,2,8464.82,767.313
0.197,144242,3126.27,2,8455.4,840.014
