quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,2066.67,5019.3,1,1.91806e+08,2.55017e+06
0.003,508.333,28.8675,1,2.06455e+08,1.70914e+07
0.004,525,75.3778,1,2.1031e+08,1.83625e+07
0.005,533.333,88.7625,1,2.12093e+08,1.84065e+07
0.006,550,116.775,1,2.11822e+08,1.8723e+07
0.007,541.667,90.0337,1,2.06759e+08,1.86783e+07
0.008,558.333,116.45,1,2.09649e+08,1.81675e+07
0.009,591.667,156.428,1,2.0839e+08,1.86266e+07
0.01,566.667,149.747,1,2.13617e+08,1.89588e+07
0.011,608.333,131.137,1,2.10643e+08,1.89149e+07
0.012,533.333,65.1339,1,2.07234e+08,1.87747e+07
0.013,508.333,51.4929,1,2.11189e+08,1.82084e+07
0.014,566.667,166.969,1,2.1069e+08,1.88238e+07
0.015,508.333,108.362,1,2.11817e+08,1.83878e+07
0.016,533.333,172.328,1,2.12143e+08,1.86238e+07
0.017,566.667,77.8499,1,2.08335e+08,1.8994e+07
0.018,516.667,93.7437,1,2.11386e+08,1.82974e+07
0.019,558.333,124.011,1,2.12058e+08,1.85434e+07
0.02,516.667,38.9249,1,2.06558e+08,1.87737e+07
0.021,575,148.477,1,2.07972e+08,1.88472e+07
0.022,508.333,66.8558,1,2.09765e+08,1.84952e+07
0.023,575,135.68,1,2.06232e+08,1.83572e+07
0.024,591.667,150.504,1,2.08604e+08,1.84276e+07
0.025,541.667,66.8558,1,2.10987e+08,1.86102e+07
0.026,566.667,98.4732,1,2.05704e+08,1.84442e+07
0.027,541.667,66.8558,1,2.09653e+08,1.8353e+07
0.028,566.667,137.069,1,2.07589e+08,1.84857e+07
0.029,541.667,124.011,1,2.04652e+08,1.80989e+07
0.03,558.333,156.428,1,2.0771e+08,1.82266e+07
0.031,608.333,192.865,1,2.11985e+08,1.81193e+07
0.032,558.333,116.45,1,2.11998e+08,1.92017e+07
0.033,516.667,71.7741,1,2.11111e+08,1.85801e+07
0.034,525,86.6025,1,2.09413e+08,1.88478e+07
0.035,550,144.6,1,2.11871e+08,1.92335e+07
0.036,525,142.223,1,2.11688e+08,1.90944e+07
0.037,508.333,51.4929,1,2.06155e+08,1.84959e+07
0.038,550,108.711,1,2.1015e+08,1.82007e+07
0.039,525,105.529,1,2.09274e+08,1.86041e+07
0.04,550,131.426,1,2.09541e+08,1.84681e+07
0.041,575,234.036,1,2.09312e+08,1.87569e+07
0.042,508.333,28.8675,1,2.11906e+08,1.87846e+07
0.043,566.667,149.747,1,2.11875e+08,1.8572e+07
0.044,533.333,65.1339,1,2.11182e+08,1.89731e+07
0.045,550,116.775,1,2.06065e+08,1.85392e+07
0.046,591.667,137.895,1,2.09818e+08,1.85274e+07
0.047,600,170.561,1,2.07897e+08,1.85275e+07
0.048,558.333,99.6205,1,2.12045e+08,1.83773e+07
0.049,533.333,88.7625,1,2.09833e+08,1.87856e+07
0.05,541.667,79.2961,1,2.08494e+08,1.86484e+07
0.051,533.333,161.433,1,2.12364e+08,1.83974e+07
0.052,566.667,155.7,1,2.10864e+08,1.86723e+07
0.053,516.667,189.896,1,2.07543e+08,1.85489e+07
0.054,558.333,144.338,1,2.0964e+08,1.87002e+07
0.055,500,60.3023,1,2.11065e+08,1.86347e+07
0.056,558.333,150.504,1,2.09956e+08,1.85571e+07
0.057,558.333,150.504,1,2.05957e+08,1.83009e+07
0.058,558.333,144.338,1,2.10765e+08,1.83985e+07
0.059,483.333,57.735,1,2.10631e+08,1.86933e+07
0.06,516.667,38.9249,1,2.07869e+08,1.86749e+07
0.061,550,116.775,1,2.09754e+08,1.84445e+07
0.062,541.667,79.2961,1,2.12633e+08,1.8428e+07
0.0629999,558.333,172.986,1,2.09938e+08,1.89919e+07
0.064,566.667,172.328,1,2.08284e+08,1.8524e+07
0.065,525,62.1582,1,2.10196e+08,1.86219e+07
0.066,533.333,88.7625,1,2.1336e+08,1.85541e+07
0.067,475,121.543,1,2.08846e+08,1.90785e+07
0.068,558.333,116.45,1,2.09269e+08,1.83287e+07
0.069,508.333,51.4929,1,2.07489e+08,1.85242e+07
0.07,700,237.41,1,2.07564e+08,1.8392e+07
0.071,508.333,51.4929,1,2.10425e+08,1.88019e+07
0.072,591.667,162.135,1,2.08857e+08,1.88051e+07
0.073,541.667,131.137,1,2.083e+08,1.87045e+07
0.074,491.667,66.8558,1,2.09884e+08,1.85181e+07
0.075,541.667,124.011,1,2.13839e+08,1.91631e+07
0.076,541.667,131.137,1,2.114e+08,1.88057e+07
0.077,491.667,51.4929,1,2.13423e+08,1.89364e+07
0.078,583.333,152.753,1,2.05376e+08,1.86308e+07
0.079,541.667,116.45,1,2.07648e+08,1.82516e+07
0.08,491.667,28.8675,1,2.07643e+08,1.84636e+07
0.081,533.333,98.4732,1,2.09743e+08,1.85271e+07
0.082,533.333,155.7,1,2.05141e+08,1.83621e+07
0.083,491.667,99.6205,1,2.06516e+08,1.83182e+07
0.084,541.667,90.0337,1,2.10979e+08,1.81257e+07
0.085,533.333,123.091,1,2.10695e+08,1.91797e+07
0.086,583.333,126.73,1,2.0754e+08,1.8546e+07
0.087,533.333,107.309,1,2.0505e+08,1.81957e+07
0.088,550,67.42,1,2.04935e+08,1.79258e+07
0.089,491.667,28.8675,1,2.04827e+08,1.78797e+07
0.09,541.667,66.8558,1,2.05928e+08,1.80856e+07
0.091,541.667,150.504,1,2.0742e+08,1.81844e+07
0.092,491.667,28.8675,1,2.05115e+08,1.81051e+07
0.093,516.667,102.986,1,2.07274e+08,1.81132e+07
0.094,516.667,38.9249,1,2.09181e+08,1.8288e+07
0.095,500,60.3023,1,2.11435e+08,1.83148e+07
0.096,450,67.42,1,2.10202e+08,1.91355e+07
0.097,491.667,51.4929,1,2.11967e+08,1.87215e+07
0.098,575,191.288,1,2.0547e+08,1.86532e+07
0.099,516.667,126.73,1,2.12098e+08,1.80521e+07
0.1,525,62.1582,1,2.12238e+08,1.85342e+07
0.101,550,67.42,1,2.11412e+08,1.86099e+07
0.102,550,131.426,1,2.0779e+08,1.87625e+07
0.103,533.333,107.309,1,2.1138e+08,1.85165e+07
0.104,625,154.479,1,2.11631e+08,1.88888e+07
0.105,533.333,49.2366,1,2.16121e+08,1.86609e+07
0.106,608.333,192.865,1,2.16431e+08,1.99178e+07
0.107,483.333,38.9249,1,2.06112e+08,1.90037e+07
0.108,508.333,28.8675,1,2.05734e+08,1.80484e+07
0.109,533.333,137.069,1,2.07703e+08,1.84349e+07
0.11,566.667,172.328,1,2.08518e+08,1.84797e+07
0.111,608.333,137.895,1,2.08137e+08,1.83603e+07
0.112,566.667,130.268,1,2.11017e+08,1.81711e+07
0.113,558.333,162.135,1,2.09945e+08,1.85137e+07
0.114,533.333,65.1339,1,2.05507e+08,1.83438e+07
0.115,525,121.543,1,2.06073e+08,1.82516e+07
0.116,500,60.3023,1,2.08494e+08,1.84448e+07
0.117,533.333,98.4732,1,2.07562e+08,1.86885e+07
0.118,516.667,57.735,1,2.07257e+08,1.89807e+07
0.119,500,112.815,1,2.06896e+08,1.84572e+07
0.12,550,116.775,1,2.11907e+08,1.82449e+07
0.121,483.333,38.9249,1,2.12892e+08,1.85835e+07
0.122,550,150.756,1,2.1106e+08,1.8912e+07
0.123,491.667,51.4929,1,2.10872e+08,1.8941e+07
0.124,475,45.2267,1,2.11933e+08,1.85297e+07
0.125,533.333,137.069,1,2.07707e+08,1.87741e+07
0.126,558.333,108.362,1,2.08253e+08,1.84328e+07
0.127,508.333,99.6205,1,2.08179e+08,1.84176e+07
0.128,491.667,66.8558,1,2.0744e+08,1.84209e+07
0.129,541.667,144.338,1,2.08511e+08,1.89674e+07
0.13,608.333,172.986,1,2.08157e+08,1.83391e+07
0.131,508.333,108.362,1,2.08056e+08,1.85783e+07
0.132,500,120.605,1,2.08993e+08,1.91455e+07
0.133,558.333,150.504,1,2.10099e+08,1.8806e+07
0.134,483.333,57.735,1,2.07186e+08,1.85731e+07
0.135,516.667,152.753,1,2.04155e+08,1.81609e+07
0.136,483.333,57.735,1,2.0567e+08,1.79615e+07
0.137,483.333,57.735,1,2.08938e+08,1.81516e+07
0.138,508.333,124.011,1,2.09031e+08,1.86129e+07
0.139,500,141.421,1,2.1162e+08,1.84969e+07
0.14,500,127.92,1,2.09555e+08,1.93307e+07
0.141,508.333,79.2961,1,2.13128e+08,1.85552e+07
0.142,483.333,57.735,1,2.06616e+08,1.87697e+07
0.143,491.667,90.0337,1,2.06106e+08,1.81624e+07
0.144,550,162.369,1,2.06945e+08,1.83129e+07
0.145,550,138.17,1,2.09932e+08,1.84006e+07
0.146,516.667,71.7741,1,2.06668e+08,1.88072e+07
0.147,550,124.316,1,2.1131e+08,1.80519e+07
0.148,566.667,270.801,1,2.11497e+08,1.84795e+07
0.149,516.667,71.7741,1,2.11934e+08,1.86995e+07
0.15,550,100,1,2.08888e+08,1.88948e+07
0.151,491.667,90.0337,1,2.11477e+08,1.86203e+07
0.152,516.667,140.346,1,2.10607e+08,1.88349e+07
0.153,483.333,38.9249,1,2.09035e+08,1.87056e+07
0.154,533.333,115.47,1,2.1285e+08,1.83846e+07
0.155,525,135.68,1,2.08077e+08,1.89167e+07
