quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,11241.7,3745.17,2006535,950,685.565
0.003,11558.3,1855.44,2006535,929.167,187.3
0.004,8608.33,2070.77,2006535,669.097,191.002
0.005,8308.33,1884.12,2006535,639.091,174.295
0.006,8525,4259.13,2006535,569.924,138.458
0.007,7433.33,2131.72,2006535,580.827,168.92
0.008,7525,2482.35,2006535,548.402,144.059
0.009,7341.67,1210.9,2006535,554.034,118.465
0.01,7458.33,1703.72,2006535,629.503,209.407
0.011,8166.67,2637.61,2006535,627.459,228.778
0.012,7433.33,2163.89,2006535,618.955,233.492
0.013,7691.67,1976.89,2006535,593.246,186.188
0.014,7158.33,1526.41,2006535,541.104,140.997
0.015,6775,1601.77,2006535,520.092,177.621
0.016,8158.33,2214.19,2006535,585.008,91.396
0.017,7716.67,2360.21,3014557,590.417,164.532
0.018,6983.33,1699.64,3014557,532.535,129.993
0.019,6833.33,1418.92,3014557,519.378,98.2866
0.02,8075,2204.18,3014557,609.948,162.157
0.021,7800,1939.54,3014557,625.829,220.261
0.022,8900,4518.45,3014557,627.152,216.45
0.023,7383.33,2044.43,3014557,585.596,199.923
0.024,8575,3536.59,3014557,565.466,122.639
0.025,7683.33,1929.59,3014557,563.789,148.763
0.026,7666.67,2044.65,3014557,571.982,150.495
0.027,7366.67,1964.84,3014557,589.332,199.221
0.028,7633.33,2180.21,3014557,599.111,175.588
0.029,7800,1647.04,3014557,583.259,126.762
0.03,6891.67,1109.84,3014557,531.938,87.9787
0.031,8041.67,1942.57,3014557,610.995,162.462
0.032,6641.67,1288.73,3014557,525.916,110.277
0.033,12941.7,7467.2,3014557,1018.83,618.331
0.034,11066.7,2809.83,3014557,868.236,218.213
0.035,10600,2898.28,3014557,1472.35,2434.28
0.036,9941.67,4018.47,3014557,781.029,250.863
0.037,7283.33,1668.33,3014557,565.086,138.526
0.038,6858.33,1027.32,3014557,547.09,98.511
0.039,6866.67,1202.52,3014557,512.258,91.3074
