quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,516.667,102.986,1,1.91589e+08,3.383e+06
0.003,516.667,133.712,1,2.0601e+08,1.68036e+07
0.004,525,45.2267,1,2.12074e+08,1.84979e+07
0.005,533.333,107.309,1,2.10631e+08,1.87122e+07
0.006,616.667,199.241,1,2.06532e+08,1.85025e+07
0.007,508.333,66.8558,1,2.07753e+08,1.8745e+07
0.008,525,96.5307,1,2.14327e+08,1.82349e+07
0.009,483.333,38.9249,1,2.08386e+08,1.90335e+07
0.01,575,142.223,1,2.09476e+08,1.85037e+07
0.011,525,113.818,1,2.08927e+08,1.92652e+07
0.012,508.333,51.4929,1,2.09555e+08,1.84946e+07
0.013,550,100,1,2.06723e+08,1.85059e+07
0.014,508.333,79.2961,1,2.08483e+08,1.82067e+07
0.015,558.333,108.362,1,2.08009e+08,1.84673e+07
0.016,550,100,1,2.11515e+08,1.83358e+07
0.017,533.333,77.8499,1,2.10068e+08,1.89159e+07
0.018,566.667,149.747,1,2.11816e+08,1.86364e+07
0.019,566.667,137.069,1,2.08712e+08,1.87042e+07
0.02,583.333,119.342,1,2.07157e+08,1.85894e+07
0.021,525,121.543,1,2.11896e+08,1.81749e+07
0.022,533.333,115.47,1,2.13308e+08,1.85305e+07
0.023,500,104.447,1,2.137e+08,1.89544e+07
0.024,516.667,57.735,1,2.12058e+08,1.8952e+07
0.025,600,185.864,1,2.13172e+08,1.85498e+07
0.026,441.667,202.073,1,2.06523e+08,1.8773e+07
0.027,600,159.545,1,2.06565e+08,1.8326e+07
0.028,608.333,172.986,1,2.10058e+08,1.83448e+07
0.029,658.333,192.865,1,2.10386e+08,1.87144e+07
0.03,516.667,93.7437,1,2.08861e+08,1.84913e+07
0.031,541.667,90.0337,1,2.09385e+08,1.86115e+07
0.032,541.667,66.8558,1,2.14041e+08,1.84414e+07
0.033,558.333,150.504,1,2.1067e+08,1.91792e+07
0.034,508.333,28.8675,1,2.11391e+08,1.94191e+07
0.035,533.333,65.1339,1,2.10957e+08,1.8689e+07
0.036,483.333,57.735,1,2.11876e+08,1.87238e+07
0.037,525,121.543,1,2.10369e+08,1.90972e+07
0.038,591.667,150.504,1,2.06921e+08,1.85433e+07
0.039,566.667,130.268,1,2.04915e+08,1.80333e+07
0.04,566.667,137.069,1,2.06385e+08,1.79333e+07
0.041,500,60.3023,1,2.10058e+08,1.86746e+07
0.042,508.333,90.0337,1,2.11365e+08,1.87345e+07
0.043,508.333,66.8558,1,2.0868e+08,1.86071e+07
0.044,566.667,115.47,1,2.06729e+08,1.82498e+07
0.045,525,96.5307,1,2.09646e+08,1.89195e+07
0.046,550,79.7724,1,2.06976e+08,1.85852e+07
0.047,550,131.426,1,2.07627e+08,1.83932e+07
0.048,533.333,98.4732,1,2.12315e+08,1.84661e+07
0.049,508.333,28.8675,1,2.1157e+08,1.90034e+07
0.05,550,90.4534,1,2.05637e+08,1.86534e+07
0.051,550,124.316,1,2.11764e+08,1.80924e+07
0.052,483.333,93.7437,1,2.1202e+08,1.85397e+07
0.053,566.667,172.328,1,2.13182e+08,1.85239e+07
0.054,558.333,144.338,1,2.09755e+08,1.91994e+07
0.055,550,116.775,1,2.10646e+08,1.85564e+07
0.056,500,60.3023,1,2.14201e+08,1.88943e+07
0.057,558.333,167.649,1,2.12273e+08,1.90759e+07
0.058,550,188.294,1,2.0996e+08,1.92031e+07
0.059,525,62.1582,1,2.06929e+08,1.85759e+07
0.06,525,135.68,1,2.11042e+08,1.82907e+07
0.061,525,96.5307,1,2.04975e+08,1.84374e+07
0.062,1966.67,5018.03,1,2.09247e+08,1.83759e+07
0.0629999,558.333,144.338,1,2.10511e+08,1.87164e+07
0.064,575,121.543,1,2.1224e+08,1.87057e+07
0.065,525,86.6025,1,2.08992e+08,1.89448e+07
0.066,516.667,57.735,1,2.07207e+08,1.85808e+07
0.067,516.667,102.986,1,2.11564e+08,1.8718e+07
0.068,541.667,131.137,1,2.10203e+08,2.10133e+07
0.069,525,105.529,1,2.06261e+08,1.83199e+07
0.07,533.333,130.268,1,2.10449e+08,1.84414e+07
0.071,550,100,1,2.10154e+08,1.86697e+07
0.072,533.333,123.091,1,2.06738e+08,1.85871e+07
0.073,550,116.775,1,2.11471e+08,1.84868e+07
0.074,516.667,83.4847,1,2.07419e+08,1.87423e+07
0.075,566.667,143.548,1,2.05801e+08,1.8359e+07
0.076,491.667,79.2961,1,2.11956e+08,1.7997e+07
0.077,575,121.543,1,2.10306e+08,1.8696e+07
0.078,516.667,83.4847,1,2.11042e+08,1.93141e+07
0.079,541.667,162.135,1,2.11855e+08,1.86072e+07
0.08,1808.33,4410.83,1,2.13738e+08,1.88061e+07
0.081,575,128.806,1,2.12824e+08,1.87002e+07
0.082,483.333,38.9249,1,2.07206e+08,1.8589e+07
0.083,533.333,115.47,1,2.08208e+08,1.86054e+07
0.084,525,62.1582,1,2.1336e+08,1.82677e+07
0.085,516.667,140.346,1,2.11415e+08,1.87819e+07
0.086,525,128.806,1,2.13701e+08,1.85671e+07
0.087,500,134.84,1,2.1169e+08,1.87009e+07
0.088,575,171.226,1,2.05536e+08,1.84623e+07
0.089,525,75.3778,1,2.1134e+08,1.87659e+07
0.09,508.333,99.6205,1,2.08315e+08,1.86796e+07
0.091,583.333,180.067,1,2.11112e+08,1.82821e+07
0.092,575,135.68,1,2.12471e+08,1.92082e+07
0.093,550,124.316,1,2.10219e+08,1.88919e+07
0.094,525,75.3778,1,2.0766e+08,1.86247e+07
0.095,508.333,51.4929,1,2.0975e+08,1.8439e+07
0.096,550,156.67,1,2.09607e+08,1.84333e+07
0.097,516.667,57.735,1,2.1083e+08,1.86286e+07
0.098,550,131.426,1,2.10232e+08,1.87001e+07
0.099,600,147.71,1,2.1152e+08,1.86559e+07
0.1,500,180.907,1,2.07428e+08,1.86926e+07
0.101,533.333,143.548,1,2.07884e+08,1.86982e+07
0.102,483.333,102.986,1,2.12398e+08,1.84834e+07
0.103,500,42.6401,1,2.10086e+08,1.86473e+07
0.104,466.667,49.2366,1,2.06651e+08,1.85452e+07
0.105,558.333,124.011,1,2.05139e+08,1.80236e+07
0.106,533.333,88.7625,1,2.06061e+08,1.80977e+07
0.107,541.667,188.092,1,2.09549e+08,1.8369e+07
0.108,575,160.255,1,2.10804e+08,1.8558e+07
0.109,500,85.2803,1,2.12738e+08,1.88369e+07
0.11,508.333,28.8675,1,2.11639e+08,1.89526e+07
0.111,533.333,155.7,1,2.06218e+08,1.8656e+07
0.112,508.333,51.4929,1,2.07388e+08,1.83327e+07
0.113,500,85.2803,1,2.07994e+08,1.82737e+07
0.114,500,85.2803,1,2.10628e+08,1.84397e+07
0.115,516.667,57.735,1,2.05575e+08,1.84111e+07
0.116,533.333,161.433,1,2.10169e+08,1.83815e+07
0.117,508.333,137.895,1,2.10676e+08,1.84638e+07
