quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,44175,7980.79,1,3450,1184.37
0.003,43025,3570.36,1,3462.5,335.147
0.004,41716.7,1235.71,1,3538.54,452.208
0.005,42000,2264.75,1,3569.88,455.91
0.006,42191.7,945.283,1,3514.16,332.911
0.007,42025,413.686,1,3534.51,332.84
0.008,41591.7,633.114,1,3519.54,328.066
0.009,41958.3,362.963,1,3526.63,321.821
0.01,41766.7,352.48,1,3518.89,324.632
0.011,41891.7,650.117,1,3501.57,327.715
0.012,41783.3,706.892,1,3466.8,319.741
0.013,41858.3,559.965,1,3522.23,325.931
0.014,41900,530.866,1,3543.52,322.514
0.015,42066.7,5263.31,1,3611.96,488.352
0.016,45266.7,7555.17,1,3684.33,625.543
0.017,40983.3,4727.84,1,3640.36,633.783
0.018,41566.7,488.659,1,3536.7,353.123
0.019,42316.7,2671.68,1,3519.72,316.975
0.02,41600,495.434,1,3534.98,336
0.021,41675,449.495,1,3561.25,336.876
0.022,41616.7,695.222,1,3571.77,343.738
0.023,41725,700.811,1,3505.98,329.275
0.024,42508.3,2819.24,1,3492.17,314.014
0.025,41675,351.943,1,3541.01,320.026
0.026,41683.3,516.691,1,3628.42,365.797
0.027,46175,9252.14,1,3944.03,872.126
0.028,40266.7,2539.63,1,3478.67,360.196
0.029,41541.7,545.158,1,3548.22,313.043
0.03,41800,885.232,1,3554.02,330.101
0.031,43808.3,3372.2,1,3629.5,399.953
0.032,43891.7,3710.54,1,3577.46,330.382
0.033,41575,581.729,1,3539.79,337.91
0.034,41475,437.191,1,3503.32,323.852
0.035,41766.7,492.366,1,3558.61,328.877
0.036,41575,591.031,1,3538.22,341.761
0.037,41483.3,464.823,1,3536.52,332.04
0.038,43458.3,3540.53,1,3528.04,314.678
0.039,42500,1472.78,1,3577.34,326.725
0.04,41850,650.175,1,3556.44,340.579
0.041,47450,8444.52,1,4496.37,2427.76
0.042,42975,1252.72,1,3758.03,624.054
0.043,42700,1739.38,1,3613.17,509.681
0.044,41525,670.312,1,3584.43,347.078
0.045,42816.7,924.252,1,3573.7,334.871
0.046,41525,779.423,1,3539.48,326.661
0.047,41675,522.451,1,3578.29,319.23
0.048,41608.3,915.978,1,3523.19,323.311
0.049,41833.3,571.017,1,3518.6,321.535
0.05,41616.7,294.906,1,3526.55,324.556
0.051,41716.7,657.59,1,3502.21,333.83
0.052,41508.3,645.908,1,3533.52,315.022
0.053,41700,805.662,1,3577.79,338.104
0.054,42325,2017.26,1,3573.15,323.272
0.055,41533.3,246.183,1,3614.43,349.147
0.056,41241.7,519.542,1,3542.87,366.58
0.057,41383.3,502.418,1,3528.57,323.76
0.058,41550,466.125,1,3535.71,328.503
0.059,41975,709.834,1,3577.98,361.659
0.06,41375,499.318,1,3564.83,332.19
0.061,41683.3,478.318,1,3522.07,327.78
0.062,41966.7,1299.18,1,3568.51,324.258
0.0629999,41850,368.041,1,3605.71,337.191
0.064,41716.7,472.582,1,3550.48,332.178
0.065,41700,616.441,1,3612.54,360.238
0.066,41525,391.094,1,3817.71,1052.47
0.067,41466.7,553.227,1,3584.81,351.916
0.068,42250,1225.86,1,3632.07,335.468
0.069,43250,3395.85,1,3611.01,336.942
0.07,42525,2704.92,1,3700.92,349.929
0.071,41616.7,562.193,1,3566.74,334.517
0.072,41491.7,524.765,1,3547.23,331.727
0.073,42358.3,1495.73,1,3720.6,517.986
0.074,41741.7,648.717,1,3601.72,349.449
0.075,41525,349.35,1,3558.48,323.412
0.076,41433.3,612.496,1,3538.21,330.938
0.077,41566.7,618.405,1,3478.18,321.96
0.078,41866.7,704.961,1,3598.18,340.806
0.079,41675,504.75,1,3566.52,325.565
0.08,41700,698.049,1,3572.21,336.131
0.081,41583.3,733.402,1,3531.02,328.964
0.082,41525,657.993,1,3527.58,317.089
0.083,41641.7,794.822,1,3560.63,344.301
0.084,41733.3,433.45,1,3571.72,316.135
0.085,41458.3,550.138,1,3580.98,324.749
0.086,41525,407.04,1,3548.41,324.589
0.087,41533.3,521.071,1,3587.37,332.861
0.088,41633.3,461.88,1,3557.28,319.365
0.089,41650,764.556,1,3546.44,316.923
0.09,41466.7,409.73,1,3578.87,357.401
0.091,41616.7,709.46,1,3881.57,1070.45
0.092,41483.3,626.438,1,3573.46,355.044
0.093,41841.7,420.948,1,3614.46,359.439
0.094,44133.3,5620.31,1,3717.87,628.542
0.095,38941.7,4792.69,1,3459.82,346.739
0.096,41375,1530.37,1,3554.99,319.736
0.097,44150,3887.63,1,3821.25,627.838
0.098,41791.7,635.979,1,3568.44,357.702
0.099,41616.7,616.196,1,3505.7,331.754
0.1,41616.7,653.429,1,3550.48,334.89
0.101,41783.3,635.085,1,3554.21,359.291
0.102,41583.3,390.415,1,3554.52,362.093
0.103,41783.3,663.097,1,3571.21,335.172
0.104,41833.3,654.124,1,3539.27,329.227
0.105,41691.7,591.544,1,4236.61,2527.55
0.106,41825,609.21,1,3578.05,386.213
0.107,43808.3,4704.25,1,3723.17,703.87
0.108,41425,515.443,1,3568.6,349.68
0.109,41800,570.486,1,3555.72,355.573
0.11,41650,510.793,1,3487.98,319.533
0.111,41591.7,657.071,1,3515.66,332.573
0.112,41466.7,471.619,1,3517.97,318.066
0.113,41533.3,411.943,1,3476.5,328.679
0.114,41508.3,674.818,1,3481.37,315.748
0.115,41700,400,1,3565.11,340.162
0.116,41983.3,1067.57,1,3555.43,328.727
0.117,41558.3,466.044,1,3546.29,325.262
0.118,41683.3,392.737,1,3620.52,418.964
0.119,41525,525.919,1,3535.04,341.046
0.12,41491.7,357.919,1,3519.59,330.869
0.121,42741.7,2191.08,1,3876.63,851.164
0.122,41583.3,673.975,1,3506.39,350.308
0.123,41408.3,431.611,1,3475.53,316.455
0.124,41533.3,598.989,1,3556.29,315.306
0.125,41650,657.129,1,3538.02,325.216
0.126,41608.3,558.339,1,3553.17,332.022
0.127,41658.3,541.812,1,3571.1,329.589
0.128,41541.7,566.422,1,3530.92,331.625
0.129,41725,486.406,1,3527.58,341.913
0.13,41508.3,355.37,1,3443.96,320.131
0.131,41491.7,384.846,1,3462,312.065
0.132,41383.3,458.918,1,3480.17,311.633
0.133,41708.3,590.005,1,3540.01,324.683
0.134,41441.7,740.342,1,3561.67,320.695
0.135,42041.7,2050.48,1,3546.81,325.778
0.136,41450,470.01,1,3528.9,321.263
0.137,41516.7,383.366,1,3519.08,327.606
0.138,41825,644.029,1,3509.92,317.517
0.139,41700,674.2,1,3459.16,323.843
0.14,41508.3,545.158,1,3421.6,311.03
0.141,41750,1358.14,1,3518.47,313.715
0.142,41341.7,423.102,1,3543.21,322.201
0.143,41866.7,582.055,1,3528.6,320.962
0.144,41700,491.75,1,3494.05,315.927
0.145,41641.7,425.245,1,3532.84,308.493
0.146,41300,581.534,1,3611.07,410.881
0.147,41375,301.888,1,3525.92,342.393
0.148,42083.3,2062.58,1,3618.83,438.888
0.149,41441.7,508.935,1,3518.24,331.447
0.15,41550,634.608,1,3509.85,334.188
0.151,41625,636.932,1,3492.49,317.221
0.152,41658.3,483.281,1,3574.37,337.563
0.153,41550,475.777,1,3497.86,316.948
0.154,41658.3,531.65,1,3566.49,359.596
0.155,41441.7,418.783,1,3530.54,328.497
0.156,41625,346.738,1,3552.55,325.886
0.157,41066.7,1941.57,1,3612.71,508.894
0.158,37300,924.416,1,3426.06,342.537
0.159,41575,668.954,1,3560.5,335.884
0.16,41533.3,603.525,1,3496.71,321.469
0.161,41550,564.881,1,3583.06,320.284
0.162,41608.3,387.201,1,3548.59,338.47
0.163,43116.7,3689.99,1,3570.72,326.442
0.164,41675,799.005,1,3555.89,337.369
0.165,41675,786.39,1,3521.32,327.044
0.166,41650,1178.21,1,3501.78,316.631
0.167,41725,841.13,1,3583.48,345.274
0.168,41583.3,514.929,1,3565.29,335.359
0.169,41608.3,789.083,1,3538.77,334.226
0.17,41441.7,508.935,1,3511.56,324.819
0.171,42658.3,3299.71,1,3534.3,340.732
0.172,47008.3,18676.5,1,3561.19,336.823
0.173,41350,650.175,1,3538.43,331.161
0.174,41033.3,755.986,1,3511.54,316.281
0.175,43325,4209.54,1,3559.29,323.975
0.176,41225,497.494,1,3596.61,335.212
0.177,41175,621.033,1,3558.05,339.447
0.178,41316.7,642.203,1,3546.5,319.846
0.179,40975,510.125,1,3570.54,326.268
0.18,41000,457.265,1,3572.55,322.663
0.181,41216.7,617.669,1,3556.05,323.767
0.182,41200,635.324,1,3546.34,328.095
0.183,41158.3,516.031,1,3578.86,336.43
0.184,41700,2848.92,1,3548.24,332.715
0.185,42108.3,2345,1,3712.35,471.57
0.186,41033.3,564.613,1,3526.03,336.506
0.187,41033.3,477.367,1,3518.84,332.881
0.188,41125,610.7,1,3593.24,358.302
0.189,41066.7,548.276,1,3516.1,348.108
0.19,41125,600.189,1,3484.68,319.056
0.191,41491.7,1439.99,1,3540.39,330.596
0.192,41025,393.412,1,3511.7,319.307
0.193,41166.7,531.436,1,3592.64,328.632
0.194,41075,437.191,1,3499.39,318.508
0.195,41150,568.091,1,3508.28,318.728
0.196,41116.7,563.807,1,3575.69,344.127
0.197,40991.7,577.547,1,3606.31,350.969
0.198,41050,454.273,1,3583.86,333.14
0.199,40900,324.738,1,3540.32,330.267
0.2,40866.7,575.774,1,3570.03,360.217
0.201,41000,653.661,1,3464.17,331.542
0.202,40916.7,6777.75,1,3638.68,720.503
0.203,38733.3,2412.97,1,3519.89,361.904
0.204,41008.3,538.446,1,3543.32,310.839
0.205,40950,712.869,1,3528.61,332.106
0.206,41266.7,652.733,1,3602.38,331.263
0.207,40841.7,655.686,1,3525.2,330.875
0.208,41000,476.731,1,3552.1,336.436
0.209,41125,754.532,1,3537.67,322.061
0.21,41225,866.681,1,3619.81,349.773
0.211,40716.7,507.818,1,3576.65,340.423
0.212,40791.7,488.892,1,3589.72,337.847
0.213,41150,569.689,1,3599.14,329.487
0.214,41116.7,462.863,1,3608.26,355.346
0.215,40916.7,395.045,1,3517.36,322.206
0.216,40908.3,384.846,1,3551.45,321.993
0.217,41300,1345.02,1,3562.62,324.465
