quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,350,108.711,231,233.333,49.2366
0.003,325,96.5307,258,402.778,61.2394
0.004,450,79.7724,295,558.565,57.2716
0.005,716.667,691.288,326,979.88,842.762
0.006,633.333,98.4732,346,848.323,107.671
0.007,683.333,83.4847,364,929.027,99.6564
0.008,1041.67,1029.08,385,1319.09,1157.63
0.009,816.667,57.735,408,1118.26,133.254
0.01,900,73.8549,424,1234.85,157.684
0.011,941.667,124.011,453,1427.9,138.081
0.012,958.333,66.8558,472,1502.33,155.714
0.013,1083.33,57.735,489,1641.86,149.211
0.014,1100,85.2803,510,1778.49,193.991
0.015,1150,79.7724,532,1864.87,175.925
0.016,1175,75.3778,551,1913.74,185.657
0.017,1325,86.6025,575,2142.81,226.043
0.018,1350,79.7724,596,2186.9,202.716
0.019,1433.33,115.47,611,2348.91,222.673
0.02,1491.67,167.649,626,2520.74,266.715
0.021,1600,262.851,641,2676.73,549.086
0.022,1500,60.3023,652,2581.39,296.462
0.023,1666.67,155.7,671,2656.78,245.831
0.024,1650,100,685,2704.73,253.183
0.025,1700,95.3463,699,2933.73,282.69
0.026,1791.67,131.137,719,2944.48,288.808
0.027,1858.33,90.0337,737,3187.04,331.93
0.028,1891.67,90.0337,752,3198.92,332.133
0.029,1966.67,166.969,766,3316.58,327.954
0.03,2500,1765.32,780,3409.71,346.887
0.031,2083.33,57.735,796,3517.48,383.271
0.032,2125,142.223,805,3626.46,438.811
0.033,2183.33,272.475,815,3643.87,407.379
0.034,2158.33,79.2961,827,3728.66,367.966
0.035,2233.33,115.47,841,3869.05,425.132
0.036,2308.33,66.8558,854,3872.42,410.973
0.037,2283.33,83.4847,869,4047.7,403.682
0.038,2283.33,57.735,888,4070.64,470.241
0.039,2241.67,99.6205,897,3980.89,431.749
0.04,2308.33,79.2961,909,4065.07,377.518
0.041,2258.33,66.8558,920,3997.09,398.476
0.042,2341.67,246.644,929,4066.42,428.365
0.043,2541.67,336.988,943,4197.2,427.209
0.044,2533.33,187.487,953,4291.43,482.195
0.045,2541.67,202.073,964,4390.95,420.157
0.046,2566.67,98.4732,973,4365.91,494.251
0.047,2658.33,124.011,985,4513.83,440.962
0.048,2650,79.7724,995,4667.82,485.002
0.049,2825,113.818,1007,4838.98,481.116
0.05,2966.67,328.449,1019,5269.92,839.83
0.051,2933.33,155.7,1029,4930.83,557.946
0.052,2966.67,161.433,1039,5119.24,518.373
0.053,2941.67,90.0337,1048,5068.27,582.593
0.054,3008.33,183.196,1055,5222.36,542.821
0.055,2933.33,77.8499,1070,5176.86,544.598
0.056,3441.67,1751.08,1079,5314.74,647.41
0.057,2933.33,115.47,1090,5276.23,559.317
0.058,2933.33,115.47,1099,5114.69,539.608
0.059,3033.33,98.4732,1108,5301.22,541.298
0.06,3033.33,77.8499,1117,5308.44,512.491
0.061,3025,86.6025,1126,5392.37,508.009
0.062,2950,108.711,1136,5316.03,494.544
0.0629999,3033.33,77.8499,1147,5243,511.283
0.064,3450,688.212,1155,5678.58,581.568
0.065,3241.67,66.8558,1163,5814.88,605.801
0.066,3275,86.6025,1172,5692.91,693.313
0.067,3416.67,93.7437,1182,5941.08,644.425
0.068,3383.33,111.464,1189,6203.42,608.364
0.069,3433.33,196.946,1197,5950.29,683.184
0.07,6225,6390.78,1205,5995.86,665.458
0.071,3550,138.17,1216,6091.32,637.159
0.072,3600,104.447,1225,6274.28,661.906
0.073,4966.67,4515.7,1233,6606.19,1371.72
0.074,3650,116.775,1240,6300.52,624.368
0.075,3683.33,140.346,1247,6625.04,751.282
0.076,3791.67,615.642,1254,6527.09,809.088
0.077,3766.67,407.505,1261,6268.92,676.458
0.078,3716.67,189.896,1267,6330.74,645.6
0.079,3716.67,111.464,1277,6710.9,639.401
0.08,3758.33,108.362,1286,6567.57,736.257
0.081,3891.67,162.135,1297,6788.96,737.583
0.082,3891.67,365.459,1305,6915.75,784.6
0.083,3900,354.196,1312,6576.31,663.764
0.084,3883.33,93.7437,1320,7014.69,741.701
0.085,3850,183.402,1327,7101.22,831.095
0.086,4391.67,1656.1,1335,6816.77,753.514
0.087,4416.67,1514.68,1342,7151.4,751.349
0.088,4000,127.92,1348,7087.62,816.411
0.089,4075,135.68,1354,7173.97,866.743
0.09,4041.67,131.137,1360,6914.5,731.521
0.091,4033.33,65.1339,1367,6851.21,667.929
0.092,4050,108.711,1374,7012.6,707.198
0.093,4075,113.818,1381,7192.72,819.53
0.094,5158.33,3478.63,1386,7091.06,676.975
0.095,4158.33,116.45,1393,7124.25,729.732
0.096,4150,124.316,1401,7477.02,796.982
0.097,4200,120.605,1409,7406.42,803.192
0.098,4175,148.477,1415,7417.2,800.685
0.099,4116.67,185.047,1424,7484.77,731.874
0.1,4225,186.474,1435,7590.4,743.204
0.101,4166.67,299.495,1444,7432.53,798.972
0.102,4141.67,66.8558,1452,7552.71,792.637
0.103,4133.33,137.069,1459,7454.39,754.195
0.104,4141.67,178.164,1466,7621.2,789.212
0.105,4191.67,150.504,1471,7610.1,818.175
0.106,4133.33,137.069,1478,7250.84,690.429
0.107,4166.67,107.309,1484,7445.9,892.956
0.108,4233.33,115.47,1491,7462.16,712.88
0.109,4333.33,115.47,1500,7788.51,783.216
0.11,4341.67,108.362,1508,7974.04,855.908
0.111,4350,108.711,1515,7672.84,734.154
0.112,4958.33,1812.31,1523,8064.4,873.305
0.113,4541.67,137.895,1531,8180.37,884.698
0.114,4766.67,333.939,1540,8223.36,769.095
0.115,4658.33,150.504,1545,8243.61,925.657
0.116,4858.33,347.611,1551,8720.3,901.044
0.117,4941.67,387.201,1558,8343.36,932.959
0.118,4808.33,131.137,1565,8320.28,943.128
0.119,4975,230.119,1572,8876.69,1041.26
0.12,4966.67,143.548,1578,8698.06,964.672
0.121,4941.67,162.135,1586,8641.5,1030.55
0.122,5091.67,317.543,1591,8961.79,925.063
0.123,4983.33,111.464,1598,8655.15,876.092
0.124,5783.33,2591.19,1603,8754.6,858.655
0.125,5066.67,187.487,1608,8671.22,1026.78
0.126,5125,270.101,1614,9097.6,846.885
0.127,5950,3670.65,1619,8791.47,856.245
0.128,4758.33,150.504,1626,8782.62,962.557
0.129,5200,1201.51,1632,8656.89,963.485
0.13,5925,2609.12,1639,8863.07,970.252
0.131,5200,127.92,1647,9088.59,950.461
0.132,5208.33,150.504,1651,9115.72,1072.54
0.133,5191.67,108.362,1658,9234.64,997.646
0.134,5191.67,99.6205,1666,9227.89,1032.06
0.135,5250,116.775,1671,9360.66,883.503
