quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,583.333,119.342,1,1.91527e+08,2.3423e+06
0.003,508.333,28.8675,1,2.05631e+08,1.68675e+07
0.004,508.333,99.6205,1,2.04411e+08,1.82191e+07
0.005,525,191.288,1,2.00638e+08,1.79405e+07
0.006,583.333,174.946,1,2.01005e+08,1.77046e+07
0.007,575,135.68,1,2.0352e+08,1.79173e+07
0.008,525,96.5307,1,2.05353e+08,1.8034e+07
0.009,516.667,38.9249,1,2.05883e+08,1.8061e+07
0.01,558.333,137.895,1,2.0635e+08,1.8067e+07
0.011,525,75.3778,1,2.0584e+08,1.83498e+07
0.012,516.667,57.735,1,2.03098e+08,1.83262e+07
0.013,558.333,131.137,1,2.07374e+08,1.78292e+07
0.014,525,75.3778,1,2.03014e+08,1.83258e+07
0.015,516.667,71.7741,1,1.99783e+08,1.77399e+07
0.016,575,171.226,1,2.05535e+08,1.79585e+07
0.017,608.333,167.649,1,2.0706e+08,1.82472e+07
0.018,500,42.6401,1,2.06932e+08,1.83835e+07
0.019,533.333,65.1339,1,2.06476e+08,1.8408e+07
0.02,500,134.84,1,2.00822e+08,1.80286e+07
0.021,491.667,79.2961,1,2.02732e+08,1.80811e+07
0.022,541.667,124.011,1,2.0235e+08,1.82664e+07
0.023,500,112.815,1,2.05962e+08,1.80301e+07
0.024,533.333,77.8499,1,2.04152e+08,1.8219e+07
0.025,533.333,166.969,1,2.02945e+08,1.79787e+07
0.026,533.333,98.4732,1,2.03156e+08,1.79713e+07
0.027,583.333,126.73,1,2.03127e+08,1.80759e+07
0.028,500,42.6401,1,1.99479e+08,1.77611e+07
0.029,500,42.6401,1,2.05442e+08,1.75482e+07
0.03,558.333,131.137,1,2.06885e+08,1.79881e+07
0.031,591.667,144.338,1,2.05883e+08,1.80632e+07
0.032,575,135.68,1,2.05774e+08,1.80518e+07
0.033,558.333,116.45,1,2.09234e+08,1.80856e+07
0.034,541.667,116.45,1,2.03872e+08,1.84931e+07
0.035,550,100,1,2.01843e+08,1.79209e+07
0.036,508.333,51.4929,1,2.06173e+08,1.82475e+07
0.037,533.333,98.4732,1,2.0848e+08,1.80698e+07
0.038,516.667,38.9249,1,2.02433e+08,1.86373e+07
0.039,533.333,123.091,1,2.0054e+08,1.76966e+07
0.04,575,113.818,1,2.06649e+08,1.75914e+07
0.041,516.667,57.735,1,2.04032e+08,1.81646e+07
0.042,591.667,188.092,1,2.04234e+08,1.79527e+07
0.043,516.667,111.464,1,2.04681e+08,1.80492e+07
0.044,575,121.543,1,2.06538e+08,1.82298e+07
0.045,516.667,140.346,1,2.03776e+08,1.84106e+07
0.046,525,62.1582,1,2.09124e+08,1.91746e+07
0.047,508.333,28.8675,1,2.05299e+08,1.85402e+07
0.048,566.667,98.4732,1,2.02228e+08,1.80303e+07
0.049,591.667,108.362,1,2.02403e+08,1.77437e+07
0.05,600,185.864,1,2.03066e+08,1.79434e+07
0.051,541.667,79.2961,1,2.06043e+08,1.79506e+07
0.052,575,266.714,1,2.07546e+08,1.80908e+07
0.053,533.333,115.47,1,2.06429e+08,1.82823e+07
0.054,550,150.756,1,2.06802e+08,1.85104e+07
0.055,541.667,66.8558,1,2.04739e+08,1.83768e+07
0.056,550,116.775,1,2.0132e+08,1.81148e+07
0.057,508.333,66.8558,1,2.01094e+08,1.77406e+07
0.058,516.667,38.9249,1,2.014e+08,1.78317e+07
0.059,533.333,65.1339,1,2.05589e+08,1.80513e+07
0.06,508.333,108.362,1,2.04052e+08,1.82451e+07
0.061,500,60.3023,1,2.08407e+08,1.81603e+07
0.062,608.333,156.428,1,2.05585e+08,1.8524e+07
0.0629999,550,124.316,1,2.06939e+08,1.82178e+07
0.064,541.667,116.45,1,2.06884e+08,1.80891e+07
0.065,491.667,51.4929,1,2.10356e+08,2.06246e+07
0.066,533.333,49.2366,1,2.03206e+08,1.86003e+07
0.067,525,75.3778,1,2.04025e+08,1.79702e+07
0.068,516.667,71.7741,1,2.04174e+08,1.82493e+07
0.069,550,131.426,1,2.01953e+08,1.82528e+07
0.07,475,62.1582,1,2.06013e+08,1.79748e+07
0.071,558.333,150.504,1,2.01005e+08,1.80265e+07
0.072,491.667,51.4929,1,2.07541e+08,1.7661e+07
