n,t_mean,t_stdev
3,4408.33,6775.82
6,200033,82504
9,9.45905e+06,2.67289e+06
12,1.00789e+09,7.13983e+07
15,8.62623e+09,1.42863e+08
18,1.03779e+10,1.51915e+08
21,1.05336e+10,1.25906e+08
24,1.05727e+10,1.28014e+08
27,1.06323e+10,1.17286e+08
30,1.06485e+10,1.24262e+08
