n,t_mean,t_stdev
3,1366.67,2436.96
6,97125,32946.7
9,8.68379e+06,2.55799e+06
12,9.75617e+08,7.02023e+07
15,8.41952e+09,1.63016e+08
18,1.01691e+10,1.12334e+08
21,1.04257e+10,1.92474e+08
24,1.03283e+10,1.29003e+08
27,1.06229e+10,8.65547e+07
30,1.04901e+10,1.50947e+08
