quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,32616.7,12796.3,1,2683.33,895.274
0.003,26808.3,5739.89,1,2656.94,253.626
0.004,23783.3,356.328,1,2538.08,245.912
0.005,23725,372.034,1,2586.51,237.327
0.006,23883.3,476.413,1,2607.21,249.892
0.007,23616.7,232.9,1,2583.93,251.066
0.008,23950,475.777,1,2573.66,234.678
0.009,23741.7,239.159,1,2581.14,244.741
0.01,23683.3,244.33,1,2581.76,237.812
0.011,24033.3,717.741,1,2581.81,237.862
0.012,24416.7,1675.4,1,2623.48,270.502
0.013,23658.3,299.874,1,2551.96,237.505
0.014,23966.7,455.937,1,2596,248.562
0.015,24275,3639.21,1,2966.33,1703.79
0.016,23883.3,1699.11,1,2630.53,450.417
0.017,24458.3,809.555,1,2577.54,267.353
0.018,24283.3,500.606,1,2489.8,244.282
0.019,24150,345.096,1,2507.48,228.997
0.02,24291.7,435.803,1,2550.62,239.953
0.021,24100,208.893,1,2595.89,244.772
0.022,24191.7,314.667,1,2557.99,243.266
0.023,24233.3,311.4,1,2638.17,336.833
0.024,24025,230.119,1,2594.85,256.343
0.025,25466.7,2763.51,1,2541.24,234.3
0.026,24066.7,317.185,1,2545.1,238.377
0.027,24041.7,302.89,1,2528.76,236.778
0.028,24075,531.08,1,2519.06,245.373
0.029,24008.3,215.146,1,2493.26,234.66
0.03,23991.7,253.909,1,2549.44,234.991
0.031,28825,9776.51,1,3154.12,857.641
0.032,23700,2634.39,1,2579.51,293.345
0.033,22858.3,1259.48,1,2789.96,516.745
0.034,25241.7,1406.13,1,2724.16,489.744
0.035,25725,3535.82,1,2760.35,543.187
0.036,22958.3,1749,1,2521.7,293.051
0.037,25225,3572.4,1,2926.81,586.738
0.038,32266.7,3589.46,1,3268.9,573.422
0.039,24683.3,1416.03,1,2755.74,456.042
0.04,24708.3,1420.92,1,2746.31,485.233
0.041,25241.7,2921.23,1,2812.19,578.845
0.042,25275,1558.63,1,2617.68,269.052
0.043,25050,1555.34,1,2559.81,245.034
0.044,25083.3,1494.74,1,2563.32,228.89
0.045,25833.3,2600.82,1,2713.61,439.812
0.046,24791.7,3962.2,1,2726.13,481.86
0.047,29591.7,5051.99,1,3427.18,576.809
0.048,25316.7,1716.67,1,2618.93,308.374
0.049,25508.3,1918.55,1,2676.58,295.58
0.05,24933.3,1381.26,1,2748.05,422.094
0.051,25116.7,1666.15,1,2729,394.247
0.052,25391.7,1694.62,1,2619.08,254.091
0.053,25283.3,1738.77,1,2651.59,301.293
0.054,25400,1811.08,1,2645.97,257.384
0.055,25050,1723.37,1,2720.5,381.824
0.056,27400,4349.71,1,3585.04,2418.61
0.057,24491.7,4258.78,1,3040.42,638.366
0.058,24741.7,2274.55,1,2703.37,459.346
0.059,25183.3,1718.26,1,2675.28,408.932
0.06,25366.7,1686.49,1,2556.27,249.272
0.061,25250,1846.62,1,2588.02,253.573
0.062,25350,1742.78,1,2607.34,250.014
0.0629999,25383.3,1879.96,1,2608.94,236.63
0.064,24966.7,1510.77,1,2809.08,390.41
0.065,24883.3,1330.64,1,2675.76,370.152
0.066,27016.7,3485.25,1,2889.65,537.982
0.067,25375,2795.82,1,2940.8,590.56
0.068,25100,1735.72,1,2753.4,438.017
0.069,25433.3,1838.15,1,2637.78,256.085
0.07,25383.3,1705.52,1,2628.15,257.479
0.071,26900,4128.61,1,3110.68,615.336
0.072,24791.7,1469.98,1,2825.89,498.511
