quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,68,68,68,1,2048
0.001,231,68,231,35,2048
0.002,258,68,258,68,2048
0.003,295,68,295,100,2048
0.004,326,68,326,133,2048
0.005,346,68,346,166,2048
0.006,364,68,364,200,2048
0.007,385,68,385,232,2048
0.008,408,68,408,269,2048
0.009,424,68,424,298,4096
0.01,453,68,453,331,4096
0.011,472,68,472,367,4096
0.012,489,68,489,396,4096
0.013,510,68,510,430,4096
0.014,532,68,532,462,4096
0.015,551,68,551,496,4096
0.016,575,68,575,530,4096
0.017,596,68,596,562,4096
0.018,611,68,611,596,4096
0.019,626,68,626,627,4096
0.02,641,68,641,663,4096
0.021,652,68,652,692,4096
0.022,671,68,671,726,4096
0.023,685,68,685,758,4096
0.024,699,68,699,791,4096
0.025,719,68,719,824,4096
0.026,737,68,737,857,4096
0.027,752,68,752,891,6144
0.028,766,68,766,925,6144
0.029,780,68,780,955,6144
0.03,796,68,796,990,6144
0.031,805,68,805,1022,6144
0.032,815,68,815,1054,6144
0.033,827,68,827,1088,6144
0.034,841,68,841,1121,6144
0.035,854,68,854,1154,6144
0.036,869,68,869,1186,6144
0.037,888,68,888,1219,6144
0.038,897,68,897,1253,6144
0.039,909,68,909,1284,6144
0.04,920,416,920,1321,6144
0.041,929,416,929,1351,6144
0.042,943,416,943,1386,6144
0.043,953,416,953,1417,6144
0.044,964,416,964,1451,6144
0.045,973,416,973,1484,6144
0.046,985,416,985,1517,6144
0.047,995,416,995,1549,6144
0.048,1007,416,1007,1587,6144
0.049,1019,416,1019,1615,6144
0.05,1029,416,1029,1651,6144
0.051,1039,416,1039,1679,8192
0.052,1048,416,1048,1712,8192
0.053,1055,416,1055,1745,8192
0.054,1070,416,1070,1781,8192
0.055,1079,416,1079,1811,8192
0.056,1090,416,1090,1847,8192
0.057,1099,416,1099,1879,8192
0.058,1108,416,1108,1909,8192
0.059,1117,416,1117,1944,8192
0.06,1126,416,1126,1975,8192
0.061,1136,416,1136,2008,8192
0.062,1147,416,1147,2044,8192
0.063,1155,416,1155,2074,8192
0.064,1163,416,1163,2110,8192
0.065,1172,416,1172,2141,8192
0.066,1182,416,1182,2173,8192
0.067,1189,416,1189,2206,8192
0.068,1197,416,1197,2241,8192
0.069,1205,416,1205,2274,8192
0.07,1216,416,1216,2305,8192
0.071,1225,416,1225,2337,8192
0.072,1233,416,1233,2372,8192
0.073,1240,416,1240,2404,8192
0.074,1247,416,1247,2436,8192
0.075,1254,416,1254,2471,8192
0.076,1261,416,1261,2503,8192
0.077,1267,416,1267,2534,8192
0.078,1277,416,1277,2567,8192
0.079,1286,416,1286,2604,8192
0.08,1297,742,1297,2635,8192
0.081,1305,742,1305,2673,8192
0.082,1312,742,1312,2699,8192
0.083,1320,742,1320,2736,8192
0.084,1327,742,1327,2765,8192
0.085,1335,742,1335,2798,8192
0.086,1342,742,1342,2831,8192
0.087,1348,742,1348,2870,8192
0.088,1354,742,1354,2898,10240
0.089,1360,742,1360,2930,10240
0.09,1367,742,1367,2962,10240
0.091,1374,742,1374,2998,10240
0.092,1381,742,1381,3032,10240
0.093,1386,742,1386,3061,10240
0.094,1393,742,1393,3097,10240
0.095,1401,742,1401,3130,10240
0.096,1409,742,1409,3160,10240
0.097,1415,742,1415,3193,10248
0.098,1424,742,1424,3225,12296
0.099,1435,742,1435,3258,12296
0.1,1444,742,1444,3292,12296
0.101,1452,742,1452,3328,12296
0.102,1459,742,1459,3358,12296
0.103,1466,742,1466,3394,12296
0.104,1471,742,1471,3423,12296
0.105,1478,742,1478,3459,12303
0.106,1484,742,1484,3492,12303
0.107,1491,742,1491,3526,12303
0.108,1500,742,1500,3556,12303
0.109,1508,742,1508,3589,12303
0.11,1515,742,1515,3620,12303
0.111,1523,742,1523,3656,12303
0.112,1531,742,1531,3687,12303
0.113,1540,742,1540,3720,12303
0.114,1545,742,1545,3753,12303
0.115,1551,742,1551,3785,12303
0.116,1558,742,1558,3819,12303
0.117,1565,742,1565,3856,12303
0.118,1572,742,1572,3888,12309
0.119,1578,1036,1578,3917,14364
0.12,1586,1036,1586,3957,14364
0.121,1591,1036,1591,3982,14371
0.122,1598,1036,1598,4018,14371
0.123,1603,1036,1603,4049,14371
0.124,1608,1036,1608,4082,14379
0.125,1614,1036,1614,4119,14379
0.126,1619,1036,1619,4151,14379
0.127,1626,1036,1626,4181,14379
0.128,1632,1036,1632,4212,14379
0.129,1639,1036,1639,4245,14379
0.13,1647,1036,1647,4285,14379
0.131,1651,1036,1651,4311,14379
0.132,1658,1036,1658,4345,14379
0.133,1666,1036,1666,4378,14379
0.134,1671,1036,1671,4416,14379
0.135,1677,1036,1677,4445,14379
0.136,1683,1036,1683,4476,14379
0.137,1691,1036,1691,4510,14379
0.138,1698,1036,1698,4541,14379
0.139,1705,1036,1705,4577,14379
0.14,1710,1036,1710,4610,14379
0.141,1716,1036,1716,4644,14386
0.142,1722,1036,1722,4677,14386
0.143,1729,1036,1729,4707,14386
0.144,1737,1036,1737,4741,14386
0.145,1742,1036,1742,4775,14386
0.146,1749,1036,1749,4807,14386
0.147,1756,1036,1756,4841,14386
0.148,1763,1036,1763,4874,14386
0.149,1768,1036,1768,4908,14386
0.15,1775,1036,1775,4936,14393
0.151,1782,1036,1782,4971,14393
0.152,1788,1036,1788,5003,14393
0.153,1797,1036,1797,5037,14393
0.154,1802,1036,1802,5067,14393
0.155,1810,1036,1810,5101,14393
0.156,1816,1036,1816,5135,14393
0.157,1821,1036,1821,5170,14400
0.158,1828,1036,1828,5200,14400
0.159,1837,1350,1837,5234,14400
0.16,1843,1350,1843,5266,14400
0.161,1850,1350,1850,5303,14400
0.162,1855,1350,1855,5337,14400
0.163,1861,1350,1861,5366,14400
0.164,1866,1350,1866,5398,14400
0.165,1873,1350,1873,5437,14400
0.166,1879,1350,1879,5464,14407
0.167,1885,1350,1885,5496,14407
0.168,1891,1350,1891,5535,14407
0.169,1897,1350,1897,5562,14407
0.17,1903,1350,1903,5597,16455
0.171,1910,1350,1910,5629,16455
0.172,1915,1350,1915,5662,16455
0.173,1920,1350,1920,5694,16455
0.174,1925,1350,1925,5726,16455
0.175,1933,1350,1933,5760,16455
0.176,1938,1350,1938,5793,16470
0.177,1945,1350,1945,5828,16477
0.178,1953,1350,1953,5857,16477
0.179,1958,1350,1958,5894,16477
