quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,778,778,778,1,512
0.001,1207,778,1207,10,1024
0.002,1287,778,1287,18,1536
0.003,1448,778,1448,26,2305
0.004,1568,778,1568,34,2308
0.005,1674,778,1674,42,2565
0.006,1814,778,1814,51,2566
0.007,1927,778,1927,59,2566
0.008,1989,778,1989,67,2567
0.009,2124,778,2124,75,2568
0.01,2218,778,2218,83,2568
0.011,2407,778,2407,92,2568
0.012,2483,778,2483,100,2568
0.013,2566,778,2566,108,2568
0.014,2675,778,2675,116,2568
0.015,2779,778,2779,124,2568
0.016,2922,778,2922,133,2568
0.017,2968,778,2968,141,2568
0.018,3088,778,3088,149,2568
0.019,3201,778,3201,157,2568
0.02,3276,778,3276,165,2568
0.021,3362,778,3362,175,2568
0.022,3413,778,3413,182,2568
0.023,3494,778,3494,190,2568
0.024,3579,778,3579,198,2568
0.025,3669,778,3669,206,2568
0.026,3755,778,3755,214,2568
0.027,3806,778,3806,223,2568
0.028,3908,778,3908,232,2568
0.029,3965,778,3965,239,2568
0.03,4006,778,4006,247,3080
0.031,4067,778,4067,255,3080
0.032,4125,778,4125,264,3080
0.033,4193,778,4193,272,3080
0.034,4253,778,4253,280,3080
0.035,4357,778,4357,288,3080
0.036,4389,778,4389,297,3080
0.037,4430,778,4430,305,3080
0.038,4460,778,4460,313,3080
0.039,4546,778,4546,321,3080
0.04,4609,778,4609,329,3080
0.041,4659,1207,4659,337,3080
0.042,4701,1207,4701,346,3080
0.043,4757,1207,4757,354,3080
0.044,4805,1207,4805,362,3080
0.045,4839,1207,4839,370,3080
0.046,4894,1207,4894,378,3080
0.047,4947,1207,4947,387,3080
0.048,4983,1207,4983,395,3080
0.049,5022,1207,5022,404,3080
0.05,5056,1207,5056,411,3080
0.051,5084,1207,5084,419,3080
0.052,5121,1207,5121,428,3080
0.053,5167,1207,5167,436,3080
0.054,5217,1207,5217,444,3080
0.055,5264,1207,5264,452,3080
0.056,5304,1207,5304,461,3080
0.057,5339,1207,5339,468,3080
0.058,5400,1207,5400,477,3080
0.059,5422,1207,5422,485,3080
0.06,5442,1207,5442,493,3080
0.061,5507,1207,5507,501,3080
0.062,5546,1207,5546,509,3080
0.063,5578,1207,5578,518,3080
0.064,5634,1207,5634,526,3080
0.065,5650,1207,5650,534,3080
0.066,5675,1207,5675,542,3080
0.067,5712,1207,5712,550,3080
