quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,17,17,17,1,16384
0.001,45,17,45,134,16384
0.002,53,17,53,266,16384
0.003,59,17,59,398,16384
0.004,65,17,65,537,16384
0.005,70,17,70,668,16384
0.006,75,17,75,792,16384
0.007,80,17,80,936,16384
0.008,84,17,84,1058,16384
0.009,89,17,89,1206,16384
0.01,93,17,93,1329,16384
0.011,97,17,97,1459,16384
0.012,101,17,101,1578,16384
0.013,105,17,105,1715,16384
0.014,109,17,109,1851,16384
0.015,113,17,113,1999,16384
0.016,116,17,116,2101,16384
0.017,120,17,120,2250,16384
0.018,124,17,124,2386,16384
0.019,128,17,128,2528,16384
0.02,131,17,131,2649,16384
0.021,134,17,134,2778,32768
0.022,137,17,137,2898,32768
0.023,140,17,140,3030,32768
0.024,144,17,144,3181,32768
0.025,147,17,147,3317,32768
0.026,150,17,150,3447,32768
0.027,153,17,153,3572,32768
0.028,156,17,156,3694,32768
0.029,158,17,158,3804,32832
0.03,161,17,161,3942,32832
0.031,164,17,164,4090,32832
0.032,167,17,167,4217,32832
0.033,170,17,170,4371,32832
0.034,172,17,172,4468,32832
0.035,175,17,175,4618,32832
0.036,177,17,177,4732,32832
0.037,180,17,180,4860,32832
0.038,183,17,183,5016,32832
0.039,185,17,185,5122,32832
0.04,188,17,188,5265,32832
0.041,190,17,190,5392,32832
0.042,192,17,192,5514,32832
0.043,195,17,195,5666,32832
0.044,197,17,197,5777,32832
0.045,200,17,200,5950,32832
0.046,202,17,202,6059,32832
0.047,204,17,204,6174,32898
0.048,206,17,206,6295,32898
0.049,209,17,209,6474,32898
0.05,211,17,211,6598,32898
0.051,213,17,213,6705,32898
0.052,215,17,215,6824,32898
0.053,218,17,218,7018,32898
0.054,219,17,219,7081,32898
0.055,222,17,222,7252,32898
0.056,224,17,224,7365,32898
0.057,226,17,226,7474,32898
0.058,229,17,229,7649,32898
0.059,231,17,231,7753,32898
0.06,233,17,233,7888,32898
0.061,235,17,235,8019,32898
0.062,238,17,238,8192,32898
0.063,240,17,240,8329,32898
0.064,242,17,242,8443,32898
0.065,244,17,244,8568,32898
0.066,246,17,246,8705,49282
0.067,248,17,248,8837,49282
0.068,250,17,250,8967,49282
0.069,252,17,252,9103,49282
0.07,253,17,253,9179,49282
0.071,255,17,255,9308,49282
0.072,258,17,258,9496,49282
0.073,259,17,259,9570,49282
0.074,261,17,261,9722,49282
0.075,263,17,263,9879,49282
0.076,265,17,265,10021,49282
0.077,266,134,266,10105,49282
0.078,268,134,268,10253,49282
0.079,270,134,270,10381,49282
0.08,272,134,272,10502,49282
0.081,274,134,274,10656,49282
0.082,276,134,276,10806,49282
0.083,277,134,277,10882,49282
0.084,279,134,279,11030,49282
0.085,281,134,281,11180,49282
0.086,283,134,283,11322,49282
0.087,285,134,285,11473,49282
0.088,286,134,286,11546,49282
0.089,288,134,288,11685,49282
0.09,290,134,290,11820,49282
0.091,292,134,292,11964,49282
0.092,294,134,294,12106,49282
0.093,296,134,296,12267,49282
0.094,297,134,297,12347,49345
0.095,299,134,299,12484,49345
0.096,301,134,301,12649,49345
0.097,302,134,302,12723,49345
0.098,304,134,304,12895,49345
0.099,305,134,305,12986,49345
0.1,307,134,307,13139,49422
0.101,309,134,309,13299,49422
0.102,311,134,311,13462,49422
0.103,312,134,312,13556,49422
0.104,314,134,314,13704,49485
0.105,315,134,315,13777,49547
0.106,317,134,317,13936,49606
0.107,319,134,319,14091,49606
0.108,320,134,320,14168,49606
0.109,322,134,322,14319,49606
0.11,324,134,324,14475,49606
0.111,325,134,325,14561,49606
0.112,327,134,327,14716,49606
0.113,329,134,329,14870,49686
0.114,330,134,330,14949,49686
0.115,332,134,332,15108,49686
0.116,334,134,334,15271,49686
0.117,335,134,335,15365,49686
0.118,337,134,337,15516,49686
0.119,338,134,338,15603,49686
0.12,340,134,340,15764,49686
0.121,342,134,342,15929,49686
0.122,343,134,343,16020,49767
0.123,345,134,345,16190,49767
0.124,346,134,346,16263,49767
0.125,348,134,348,16427,49767
0.126,350,134,350,16594,49767
0.127,351,134,351,16680,49767
0.128,353,134,353,16844,66151
0.129,354,134,354,16920,66151
0.13,356,134,356,17095,66151
0.131,358,134,358,17250,66151
0.132,359,134,359,17333,66151
0.133,361,134,361,17511,66151
0.134,362,134,362,17593,66151
0.135,364,134,364,17778,66232
0.136,365,134,365,17865,66288
0.137,367,134,367,18024,66288
0.138,368,134,368,18104,66288
0.139,370,134,370,18245,66288
0.14,372,134,372,18417,66345
0.141,373,134,373,18512,66345
0.142,375,134,375,18698,66345
0.143,376,134,376,18791,66345
0.144,377,134,377,18893,66345
0.145,379,134,379,19071,66345
0.146,380,134,380,19152,66345
0.147,382,134,382,19304,66425
0.148,384,134,384,19474,66425
0.149,385,134,385,19560,66425
0.15,387,134,387,19741,66425
0.151,388,134,388,19830,66425
0.152,390,134,390,19987,66425
0.153,391,134,391,20085,66499
0.154,393,157,393,20275,66499
0.155,394,245,394,20373,66499
0.156,396,245,396,20537,66499
