quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,17,134,17,1,0
0.001,45,165,45,134,0
0.002,53,175,53,266,0
0.003,59,235,59,398,0
0.004,65,257,65,537,0
0.005,70,259,70,668,0
0.006,75,266,75,792,0
0.007,80,266,80,936,0
0.008,84,266,84,1058,0
0.009,89,266,89,1206,0
0.01,93,266,93,1329,0
0.011,97,266,97,1459,0
0.012,101,266,101,1578,0
0.013,105,266,105,1715,0
0.014,109,266,109,1851,0
0.015,113,266,113,1999,0
0.016,116,266,116,2101,0
0.017,120,266,120,2250,0
0.018,124,266,124,2386,0
0.019,128,266,128,2528,0
0.02,131,266,131,2649,0
0.021,134,266,134,2778,48
0.022,137,266,137,2898,48
0.023,140,266,140,3030,48
0.024,144,266,144,3181,48
0.025,147,266,147,3317,48
0.026,150,266,150,3447,48
0.027,153,266,153,3572,48
0.028,156,266,156,3694,48
0.029,158,266,158,3804,48
0.03,161,266,161,3942,48
0.031,164,266,164,4090,48
0.032,167,266,167,4217,98
0.033,170,266,170,4371,98
0.034,172,266,172,4468,98
0.035,175,266,175,4618,146
0.036,177,266,177,4732,146
0.037,180,266,180,4860,146
0.038,183,266,183,5016,146
0.039,185,266,185,5122,146
0.04,188,266,188,5265,146
0.041,190,266,190,5392,146
0.042,192,266,192,5514,146
0.043,195,266,195,5666,146
0.044,197,266,197,5777,146
0.045,200,266,200,5950,146
0.046,202,266,202,6059,146
0.047,204,266,204,6174,146
0.048,206,266,206,6295,146
0.049,209,266,209,6474,146
0.05,211,266,211,6598,146
0.051,213,266,213,6705,146
0.052,215,266,215,6824,146
0.053,218,266,218,7018,204
0.054,219,266,219,7081,204
0.055,222,266,222,7252,204
0.056,224,266,224,7365,204
0.057,226,266,226,7474,204
0.058,229,266,229,7649,204
0.059,231,266,231,7753,204
0.06,233,266,233,7888,204
0.061,235,266,235,8019,254
0.062,238,266,238,8192,254
0.063,240,266,240,8329,254
0.064,242,277,242,8443,254
0.065,244,286,244,8568,254
0.066,246,300,246,8705,254
0.067,248,307,248,8837,254
0.068,250,322,250,8967,254
0.069,252,336,252,9103,254
0.07,253,361,253,9179,254
0.071,255,371,255,9308,254
0.072,258,376,258,9496,304
0.073,259,380,259,9570,373
0.074,261,381,261,9722,373
0.075,263,381,263,9879,373
0.076,265,381,265,10021,373
0.077,266,381,266,10105,4469
0.078,268,381,268,10253,4469
0.079,270,381,270,10381,4469
0.08,272,381,272,10502,4469
0.081,274,381,274,10656,4469
0.082,276,381,276,10806,4469
0.083,277,381,277,10882,4528
0.084,279,381,279,11030,4528
0.085,281,381,281,11180,4528
0.086,283,381,283,11322,4528
0.087,285,381,285,11473,4528
0.088,286,381,286,11546,4593
0.089,288,381,288,11685,4593
0.09,290,381,290,11820,4593
0.091,292,381,292,11964,4593
0.092,294,381,294,12106,4593
0.093,296,381,296,12267,4593
0.094,297,381,297,12347,4593
0.095,299,381,299,12484,4593
0.096,301,381,301,12649,4655
0.097,302,381,302,12723,4655
0.098,304,381,304,12895,4655
0.099,305,381,305,12986,4655
0.1,307,381,307,13139,4710
0.101,309,381,309,13299,4710
0.102,311,381,311,13462,4710
0.103,312,381,312,13556,4710
0.104,314,381,314,13704,4710
0.105,315,381,315,13777,4710
0.106,317,381,317,13936,4710
0.107,319,381,319,14091,4710
0.108,320,381,320,14168,4710
