quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,1,8,1,8,0
0.001,6,8,6,636,0
0.002,8,8,8,1434,32768
0.003,9,8,9,1963,32768
0.004,10,8,10,2565,33370
0.005,11,8,11,3241,34046
0.006,11,8,11,3241,34046
0.007,12,8,12,4012,66814
0.008,13,8,13,4774,66814
0.009,13,8,13,4774,66814
0.01,14,8,14,5618,99582
0.011,15,8,15,6460,99582
0.012,15,8,15,6460,99582
0.013,16,8,16,7359,99582
0.014,16,8,16,7359,99582
0.015,17,8,17,8269,100492
0.016,18,8,18,9151,101374
0.017,18,8,18,9151,101374
0.018,19,8,19,10030,102253
0.019,19,8,19,10030,102253
0.02,20,8,20,10896,103119
0.021,21,8,21,11733,111311
0.022,21,8,21,11733,111311
0.023,22,8,22,12636,112214
0.024,22,8,22,12636,112214
0.025,23,8,23,13480,113058
0.026,24,8,24,14277,113855
0.027,24,8,24,14277,113855
0.028,25,8,25,15055,113855
0.029,26,8,26,15884,113855
0.03,26,8,26,15884,113855
0.031,27,8,27,16680,114651
0.032,28,8,28,17447,115418
0.033,28,8,28,17447,115418
0.034,29,8,29,18316,116287
0.035,30,8,30,19118,117089
0.036,30,8,30,19118,117089
0.037,31,8,31,20000,117971
0.038,31,8,31,20000,117971
0.039,32,8,32,20970,118941
0.04,33,8,33,21980,119951
0.041,33,8,33,21980,119951
0.042,34,8,34,22994,120965
0.043,34,8,34,22994,120965
0.044,35,11,35,24042,120965
0.045,35,12,35,24042,120965
0.046,36,12,36,25132,122055
0.047,36,12,36,25132,122055
0.048,37,12,37,26262,123185
0.049,37,12,37,26262,123185
0.05,37,12,37,26262,123185
0.051,38,12,38,27423,124219
0.052,38,12,38,27423,124219
0.053,39,12,39,28537,125333
0.054,39,12,39,28537,125333
0.055,40,12,40,29708,126504
0.056,40,12,40,29708,126504
0.057,41,12,41,30904,126504
0.058,41,12,41,30904,126504
0.059,42,12,42,32092,126504
0.06,42,12,42,32092,126504
0.061,42,12,42,32092,126504
0.062,43,12,43,33282,126504
0.063,43,12,43,33282,126504
0.064,44,12,44,34482,127704
0.065,44,12,44,34482,127704
0.066,45,12,45,35640,128862
0.067,45,12,45,35640,128862
0.068,46,12,46,36804,128862
0.069,46,12,46,36804,128862
0.07,46,12,46,36804,128862
0.071,47,12,47,37959,130017
0.072,47,12,47,37959,130017
0.073,48,12,48,39104,131162
0.074,48,12,48,39104,131162
0.075,49,12,49,40263,132321
0.076,49,12,49,40263,132321
0.077,50,12,50,41430,132321
0.078,50,12,50,41430,132321
0.079,51,12,51,42609,133500
0.08,51,12,51,42609,133500
0.081,51,12,51,42609,133500
0.082,52,12,52,43760,134651
0.083,52,12,52,43760,134651
0.084,53,12,53,44935,134651
0.085,53,12,53,44935,134651
0.086,54,12,54,46116,135832
0.087,54,12,54,46116,135832
0.088,55,14,55,47304,135832
0.089,55,14,55,47304,135832
0.09,55,14,55,47304,135832
0.091,56,14,56,48523,137051
0.092,56,14,56,48523,137051
0.093,57,14,57,49790,138318
0.094,57,14,57,49790,138318
0.095,58,14,58,51041,138318
