quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,68,892,68,1,0
0.001,231,1097,231,35,0
0.002,258,1097,258,68,0
0.003,295,1097,295,100,0
0.004,326,1097,326,133,0
0.005,346,1097,346,166,0
0.006,364,1097,364,200,0
0.007,385,1097,385,232,0
0.008,408,1097,408,269,0
0.009,424,1097,424,298,0
0.01,453,1097,453,331,0
0.011,472,1097,472,367,0
0.012,489,1097,489,396,0
0.013,510,1097,510,430,0
0.014,532,1097,532,462,0
0.015,551,1097,551,496,0
0.016,575,1097,575,530,0
0.017,596,1097,596,562,0
0.018,611,1097,611,596,0
0.019,626,1097,626,627,0
0.02,641,1097,641,663,0
0.021,652,1097,652,692,0
0.022,671,1097,671,726,0
0.023,685,1097,685,758,0
0.024,699,1097,699,791,0
0.025,719,1097,719,824,0
0.026,737,1097,737,857,0
0.027,752,1097,752,891,0
0.028,766,1097,766,925,0
0.029,780,1097,780,955,0
0.03,796,1097,796,990,0
0.031,805,1097,805,1022,0
0.032,815,1097,815,1054,0
0.033,827,1097,827,1088,0
0.034,841,1097,841,1121,0
0.035,854,1097,854,1154,0
0.036,869,1097,869,1186,0
0.037,888,1097,888,1219,0
0.038,897,1097,897,1253,7
0.039,909,1097,909,1284,7
0.04,920,1097,920,1321,7
0.041,929,1097,929,1351,7
0.042,943,1097,943,1386,7
0.043,953,1097,953,1417,7
0.044,964,1097,964,1451,7
0.045,973,1097,973,1484,7
0.046,985,1097,985,1517,7
0.047,995,1097,995,1549,7
0.048,1007,1097,1007,1587,7
0.049,1019,1097,1019,1615,7
0.05,1029,1097,1029,1651,7
0.051,1039,1097,1039,1679,7
0.052,1048,1097,1048,1712,7
0.053,1055,1097,1055,1745,7
0.054,1070,1097,1070,1781,7
0.055,1079,1097,1079,1811,7
0.056,1090,1097,1090,1847,7
0.057,1099,1097,1099,1879,1031
0.058,1108,1097,1108,1909,1031
0.059,1117,1097,1117,1944,1031
0.06,1126,1286,1126,1975,1031
0.061,1136,1593,1136,2008,1031
0.062,1147,1593,1147,2044,1031
0.063,1155,1593,1155,2074,1031
0.064,1163,1593,1163,2110,1031
0.065,1172,1593,1172,2141,1031
0.066,1182,1593,1182,2173,1031
0.067,1189,1593,1189,2206,1031
0.068,1197,1593,1197,2241,1031
0.069,1205,1593,1205,2274,1031
0.07,1216,1593,1216,2305,1031
0.071,1225,1593,1225,2337,1031
0.072,1233,1593,1233,2372,1031
0.073,1240,1593,1240,2404,1031
0.074,1247,1593,1247,2436,1031
0.075,1254,1593,1254,2471,1031
